FID,dec_ssh
vbl_ssh_allreg_dec.60182,3.07999992
vbl_ssh_allreg_dec.60183,3.0999999
vbl_ssh_allreg_dec.60184,3.1500001
vbl_ssh_allreg_dec.60185,3.19000006
vbl_ssh_allreg_dec.60186,3.22000003
vbl_ssh_allreg_dec.60187,3.27999997
vbl_ssh_allreg_dec.60188,3.30999994
vbl_ssh_allreg_dec.60189,3.32999992
vbl_ssh_allreg_dec.60190,3.3599999
vbl_ssh_allreg_dec.60191,3.3900001
vbl_ssh_allreg_dec.60192,3.42000008
vbl_ssh_allreg_dec.60193,3.46000004
vbl_ssh_allreg_dec.60194,3.49000001
vbl_ssh_allreg_dec.60195,3.51999998
vbl_ssh_allreg_dec.60196,3.53999996
vbl_ssh_allreg_dec.60197,3.55999994
vbl_ssh_allreg_dec.60198,3.57999992
vbl_ssh_allreg_dec.60199,3.58999991
vbl_ssh_allreg_dec.60200,3.6099999
vbl_ssh_allreg_dec.60201,3.61999989
vbl_ssh_allreg_dec.60202,3.63000011
vbl_ssh_allreg_dec.60203,3.6500001
vbl_ssh_allreg_dec.60204,3.66000009
vbl_ssh_allreg_dec.60205,3.67000008
vbl_ssh_allreg_dec.60206,3.68000007
vbl_ssh_allreg_dec.60207,3.70000005
vbl_ssh_allreg_dec.60208,3.70000005
vbl_ssh_allreg_dec.60209,1.63
vbl_ssh_allreg_dec.60210,1.63999999
vbl_ssh_allreg_dec.60211,1.66999996
vbl_ssh_allreg_dec.60212,1.55999994
vbl_ssh_allreg_dec.60213,1.28999996
vbl_ssh_allreg_dec.60214,1.40999997
vbl_ssh_allreg_dec.60215,1.25
vbl_ssh_allreg_dec.60216,1.03999996
vbl_ssh_allreg_dec.60218,0.77999997
vbl_ssh_allreg_dec.60219,1.76999998
vbl_ssh_allreg_dec.60220,1.98000002
vbl_ssh_allreg_dec.60221,2.32999992
vbl_ssh_allreg_dec.60222,2.50999999
vbl_ssh_allreg_dec.60223,2.6400001
vbl_ssh_allreg_dec.60224,2.75
vbl_ssh_allreg_dec.60225,2.83999991
vbl_ssh_allreg_dec.60226,2.91000009
vbl_ssh_allreg_dec.60227,2.97000003
vbl_ssh_allreg_dec.60228,3.01999998
vbl_ssh_allreg_dec.60229,3.04999995
vbl_ssh_allreg_dec.60230,3.08999991
vbl_ssh_allreg_dec.60231,3.1400001
vbl_ssh_allreg_dec.60232,3.19000006
vbl_ssh_allreg_dec.60233,3.24000001
vbl_ssh_allreg_dec.60234,3.26999998
vbl_ssh_allreg_dec.60235,3.28999996
vbl_ssh_allreg_dec.60236,3.30999994
vbl_ssh_allreg_dec.60237,3.32999992
vbl_ssh_allreg_dec.60238,3.36999989
vbl_ssh_allreg_dec.60239,3.41000009
vbl_ssh_allreg_dec.60240,3.44000006
vbl_ssh_allreg_dec.60241,3.47000003
vbl_ssh_allreg_dec.60242,3.5
vbl_ssh_allreg_dec.60243,3.51999998
vbl_ssh_allreg_dec.60244,3.53999996
vbl_ssh_allreg_dec.60245,3.55999994
vbl_ssh_allreg_dec.60246,3.57999992
vbl_ssh_allreg_dec.60247,3.58999991
vbl_ssh_allreg_dec.60248,3.5999999
vbl_ssh_allreg_dec.60249,3.61999989
vbl_ssh_allreg_dec.60250,3.63000011
vbl_ssh_allreg_dec.60251,3.6400001
vbl_ssh_allreg_dec.60252,3.66000009
vbl_ssh_allreg_dec.60253,3.67000008
vbl_ssh_allreg_dec.60254,3.68000007
vbl_ssh_allreg_dec.60255,3.69000006
vbl_ssh_allreg_dec.60256,3.70000005
vbl_ssh_allreg_dec.60257,1.20000005
vbl_ssh_allreg_dec.60258,1.41999996
vbl_ssh_allreg_dec.60259,1.42999995
vbl_ssh_allreg_dec.60260,1.15999997
vbl_ssh_allreg_dec.60261,0.57999998
vbl_ssh_allreg_dec.60262,1.16999996
vbl_ssh_allreg_dec.60263,1.08000004
vbl_ssh_allreg_dec.60264,1
vbl_ssh_allreg_dec.60265,1.02999997
vbl_ssh_allreg_dec.60266,1.15999997
vbl_ssh_allreg_dec.60267,1.24000001
vbl_ssh_allreg_dec.60268,1.46000004
vbl_ssh_allreg_dec.60269,1.87
vbl_ssh_allreg_dec.60270,2.06999993
vbl_ssh_allreg_dec.60271,2.32999992
vbl_ssh_allreg_dec.60272,2.48000002
vbl_ssh_allreg_dec.60273,2.5999999
vbl_ssh_allreg_dec.60274,2.69000006
vbl_ssh_allreg_dec.60275,2.77999997
vbl_ssh_allreg_dec.60276,2.8599999
vbl_ssh_allreg_dec.60277,2.92000008
vbl_ssh_allreg_dec.60278,2.96000004
vbl_ssh_allreg_dec.60279,3.00999999
vbl_ssh_allreg_dec.60280,3.04999995
vbl_ssh_allreg_dec.60281,3.07999992
vbl_ssh_allreg_dec.60282,3.13000011
