FID,mar_ssh
vbl_ssh_allreg_mar.60557,2.91000009
vbl_ssh_allreg_mar.60558,2.93000007
vbl_ssh_allreg_mar.60559,2.95000005
vbl_ssh_allreg_mar.60560,2.97000003
vbl_ssh_allreg_mar.60561,2.98000002
vbl_ssh_allreg_mar.60562,3
vbl_ssh_allreg_mar.36,3.71000004
vbl_ssh_allreg_mar.60563,3.00999999
vbl_ssh_allreg_mar.60564,3.01999998
vbl_ssh_allreg_mar.60565,3.01999998
vbl_ssh_allreg_mar.60566,3.02999997
vbl_ssh_allreg_mar.60567,3.03999996
vbl_ssh_allreg_mar.60568,3.04999995
vbl_ssh_allreg_mar.60569,3.04999995
vbl_ssh_allreg_mar.60570,3.05999994
vbl_ssh_allreg_mar.60571,3.06999993
vbl_ssh_allreg_mar.60572,3.06999993
vbl_ssh_allreg_mar.60573,0.63
vbl_ssh_allreg_mar.60574,0.64999998
vbl_ssh_allreg_mar.60575,0.57999998
vbl_ssh_allreg_mar.60576,1.11000001
vbl_ssh_allreg_mar.60577,1.35000002
vbl_ssh_allreg_mar.60578,1.51999998
vbl_ssh_allreg_mar.60579,1.61000001
vbl_ssh_allreg_mar.60580,1.70000005
vbl_ssh_allreg_mar.60581,1.78999996
vbl_ssh_allreg_mar.60582,1.88
vbl_ssh_allreg_mar.60583,1.96000004
vbl_ssh_allreg_mar.60584,2.02999997
vbl_ssh_allreg_mar.60585,2.08999991
vbl_ssh_allreg_mar.60586,2.1500001
vbl_ssh_allreg_mar.60587,2.21000004
vbl_ssh_allreg_mar.60588,2.25999999
vbl_ssh_allreg_mar.60589,2.30999994
vbl_ssh_allreg_mar.60590,2.3599999
vbl_ssh_allreg_mar.60591,2.42000008
vbl_ssh_allreg_mar.60592,2.46000004
vbl_ssh_allreg_mar.60593,2.5
vbl_ssh_allreg_mar.60594,2.52999997
vbl_ssh_allreg_mar.60595,2.54999995
vbl_ssh_allreg_mar.60596,2.56999993
vbl_ssh_allreg_mar.37,3.71000004
vbl_ssh_allreg_mar.60597,2.63000011
vbl_ssh_allreg_mar.60598,2.67000008
vbl_ssh_allreg_mar.60599,2.68000007
vbl_ssh_allreg_mar.60600,2.69000006
vbl_ssh_allreg_mar.60601,2.69000006
vbl_ssh_allreg_mar.60602,2.70000005
vbl_ssh_allreg_mar.60603,2.70000005
vbl_ssh_allreg_mar.60604,2.71000004
vbl_ssh_allreg_mar.60605,2.68000007
vbl_ssh_allreg_mar.60606,2.72000003
vbl_ssh_allreg_mar.60607,2.77999997
vbl_ssh_allreg_mar.60608,2.82999992
vbl_ssh_allreg_mar.60609,2.86999989
vbl_ssh_allreg_mar.60610,2.9000001
vbl_ssh_allreg_mar.60611,2.92000008
vbl_ssh_allreg_mar.60612,2.93000007
vbl_ssh_allreg_mar.60613,2.95000005
vbl_ssh_allreg_mar.60614,2.97000003
vbl_ssh_allreg_mar.60615,2.98000002
vbl_ssh_allreg_mar.60616,2.99000001
vbl_ssh_allreg_mar.60617,3
vbl_ssh_allreg_mar.60618,3.00999999
vbl_ssh_allreg_mar.60619,3.01999998
vbl_ssh_allreg_mar.60620,3.01999998
vbl_ssh_allreg_mar.60621,3.02999997
vbl_ssh_allreg_mar.60622,3.03999996
vbl_ssh_allreg_mar.60623,3.03999996
vbl_ssh_allreg_mar.60624,3.04999995
vbl_ssh_allreg_mar.60625,3.04999995
vbl_ssh_allreg_mar.60626,3.05999994
vbl_ssh_allreg_mar.60627,0.50999999
vbl_ssh_allreg_mar.60628,0.47999999
vbl_ssh_allreg_mar.60629,1.12
vbl_ssh_allreg_mar.60630,1.38
vbl_ssh_allreg_mar.60631,1.5
vbl_ssh_allreg_mar.60633,1.69000006
vbl_ssh_allreg_mar.60634,1.77999997
vbl_ssh_allreg_mar.60635,1.89999998
vbl_ssh_allreg_mar.60636,1.97000003
vbl_ssh_allreg_mar.60637,2.02999997
