FID,sep_ssh
vbl_ssh_allreg_sep.60558,2.30999994
vbl_ssh_allreg_sep.60559,2.32999992
vbl_ssh_allreg_sep.60560,2.33999991
vbl_ssh_allreg_sep.60561,2.3499999
vbl_ssh_allreg_sep.60562,2.3599999
vbl_ssh_allreg_sep.36,2.53999996
vbl_ssh_allreg_sep.60563,2.36999989
vbl_ssh_allreg_sep.60564,2.38000011
vbl_ssh_allreg_sep.60565,2.38000011
vbl_ssh_allreg_sep.60566,2.3900001
vbl_ssh_allreg_sep.60567,2.4000001
vbl_ssh_allreg_sep.60568,2.41000009
vbl_ssh_allreg_sep.60569,2.42000008
vbl_ssh_allreg_sep.60570,2.42000008
vbl_ssh_allreg_sep.60571,2.43000007
vbl_ssh_allreg_sep.60572,2.44000006
vbl_ssh_allreg_sep.60573,0.51999998
vbl_ssh_allreg_sep.60574,0.55000001
vbl_ssh_allreg_sep.60575,0.52999997
vbl_ssh_allreg_sep.60576,0.88
vbl_ssh_allreg_sep.60577,1.05999994
vbl_ssh_allreg_sep.60578,1.21000004
vbl_ssh_allreg_sep.60579,1.27999997
vbl_ssh_allreg_sep.60580,1.36000001
vbl_ssh_allreg_sep.60581,1.44000006
vbl_ssh_allreg_sep.60582,1.50999999
vbl_ssh_allreg_sep.60583,1.58000004
vbl_ssh_allreg_sep.60584,1.63999999
vbl_ssh_allreg_sep.60585,1.69000006
vbl_ssh_allreg_sep.60586,1.74000001
vbl_ssh_allreg_sep.60587,1.78999996
vbl_ssh_allreg_sep.60588,1.83000004
vbl_ssh_allreg_sep.60589,1.87
vbl_ssh_allreg_sep.60590,1.90999997
vbl_ssh_allreg_sep.60591,1.95000005
vbl_ssh_allreg_sep.60592,1.98000002
vbl_ssh_allreg_sep.60593,2
vbl_ssh_allreg_sep.60594,2.01999998
vbl_ssh_allreg_sep.60595,2.03999996
vbl_ssh_allreg_sep.60596,2.05999994
vbl_ssh_allreg_sep.37,2.53999996
vbl_ssh_allreg_sep.60597,2.08999991
vbl_ssh_allreg_sep.60598,2.11999989
vbl_ssh_allreg_sep.60599,2.13000011
vbl_ssh_allreg_sep.60600,2.1400001
vbl_ssh_allreg_sep.60601,2.1500001
vbl_ssh_allreg_sep.60602,2.16000009
vbl_ssh_allreg_sep.60603,2.17000008
vbl_ssh_allreg_sep.60604,2.18000007
vbl_ssh_allreg_sep.60605,2.17000008
vbl_ssh_allreg_sep.60606,2.19000006
vbl_ssh_allreg_sep.60607,2.22000003
vbl_ssh_allreg_sep.60608,2.25
vbl_ssh_allreg_sep.60609,2.26999998
vbl_ssh_allreg_sep.60610,2.28999996
vbl_ssh_allreg_sep.60611,2.30999994
vbl_ssh_allreg_sep.60612,2.31999993
vbl_ssh_allreg_sep.60613,2.32999992
vbl_ssh_allreg_sep.60614,2.33999991
vbl_ssh_allreg_sep.60615,2.3499999
vbl_ssh_allreg_sep.60616,2.3599999
vbl_ssh_allreg_sep.60617,2.36999989
vbl_ssh_allreg_sep.60618,2.38000011
vbl_ssh_allreg_sep.60619,2.38000011
vbl_ssh_allreg_sep.60620,2.3900001
vbl_ssh_allreg_sep.60621,2.4000001
vbl_ssh_allreg_sep.60622,2.41000009
vbl_ssh_allreg_sep.60623,2.41000009
vbl_ssh_allreg_sep.60624,2.42000008
vbl_ssh_allreg_sep.60625,2.43000007
vbl_ssh_allreg_sep.60626,2.43000007
vbl_ssh_allreg_sep.60627,0.46000001
vbl_ssh_allreg_sep.60628,0.44999999
vbl_ssh_allreg_sep.60629,0.88
vbl_ssh_allreg_sep.60630,1.11000001
vbl_ssh_allreg_sep.60631,1.20000005
vbl_ssh_allreg_sep.60633,1.38
vbl_ssh_allreg_sep.60634,1.44000006
vbl_ssh_allreg_sep.60635,1.52999997
vbl_ssh_allreg_sep.60636,1.60000002
vbl_ssh_allreg_sep.60637,1.64999998
vbl_ssh_allreg_sep.60638,1.70000005
vbl_ssh_allreg_sep.60639,1.75
vbl_ssh_allreg_sep.60640,1.79999995
vbl_ssh_allreg_sep.60641,1.84000003
vbl_ssh_allreg_sep.60642,1.88
vbl_ssh_allreg_sep.60643,1.90999997
vbl_ssh_allreg_sep.60644,1.94000006
vbl_ssh_allreg_sep.60645,1.97000003
vbl_ssh_allreg_sep.60646,2
vbl_ssh_allreg_sep.60647,2.01999998
vbl_ssh_allreg_sep.60648,2.03999996
vbl_ssh_allreg_sep.60649,2.05999994
vbl_ssh_allreg_sep.60650,2.07999992
vbl_ssh_allreg_sep.60651,2.0999999
vbl_ssh_allreg_sep.60652,2.1099999
vbl_ssh_allreg_sep.60653,2.11999989
vbl_ssh_allreg_sep.60654,2.13000011
vbl_ssh_allreg_sep.60655,2.13000011
vbl_ssh_allreg_sep.60656,2.11999989
vbl_ssh_allreg_sep.60657,2.04999995
vbl_ssh_allreg_sep.60658,2.1099999
vbl_ssh_allreg_sep.60659,2.1400001
vbl_ssh_allreg_sep.60660,2.20000005
vbl_ssh_allreg_sep.60661,2.24000001
vbl_ssh_allreg_sep.60662,2.25999999
vbl_ssh_allreg_sep.60663,2.27999997
vbl_ssh_allreg_sep.60664,2.28999996
vbl_ssh_allreg_sep.60665,2.30999994
vbl_ssh_allreg_sep.60666,2.31999993
vbl_ssh_allreg_sep.38,2.53999996
vbl_ssh_allreg_sep.60667,2.32999992
vbl_ssh_allreg_sep.60668,2.33999991
vbl_ssh_allreg_sep.60669,2.3499999
vbl_ssh_allreg_sep.60670,2.3599999
vbl_ssh_allreg_sep.60671,2.36999989
vbl_ssh_allreg_sep.60672,2.38000011
vbl_ssh_allreg_sep.60673,2.38000011
vbl_ssh_allreg_sep.60674,2.3900001
vbl_ssh_allreg_sep.60675,2.4000001
vbl_ssh_allreg_sep.60676,2.4000001
vbl_ssh_allreg_sep.60677,2.41000009
vbl_ssh_allreg_sep.60678,2.42000008
vbl_ssh_allreg_sep.60679,2.42000008
vbl_ssh_allreg_sep.60680,2.43000007
vbl_ssh_allreg_sep.60681,0.38
vbl_ssh_allreg_sep.60682,0.69
vbl_ssh_allreg_sep.60683,1.01999998
vbl_ssh_allreg_sep.60684,1.08000004
vbl_ssh_allreg_sep.60685,1.10000002
vbl_ssh_allreg_sep.60686,1.37
vbl_ssh_allreg_sep.60687,1.47000003
vbl_ssh_allreg_sep.60688,1.54999995
vbl_ssh_allreg_sep.60689,1.61000001
vbl_ssh_allreg_sep.60690,1.65999997
vbl_ssh_allreg_sep.60691,1.71000004
vbl_ssh_allreg_sep.60692,1.75999999
vbl_ssh_allreg_sep.60693,1.79999995
vbl_ssh_allreg_sep.60694,1.84000003
vbl_ssh_allreg_sep.60695,1.88
vbl_ssh_allreg_sep.60696,1.89999998
vbl_ssh_allreg_sep.60697,1.94000006
vbl_ssh_allreg_sep.60698,1.97000003
vbl_ssh_allreg_sep.60699,2
vbl_ssh_allreg_sep.60700,2.01999998
vbl_ssh_allreg_sep.60701,2.03999996
vbl_ssh_allreg_sep.60703,2.06999993
vbl_ssh_allreg_sep.60704,2.07999992
vbl_ssh_allreg_sep.60705,2.07999992
vbl_ssh_allreg_sep.60706,2.07999992
vbl_ssh_allreg_sep.60707,2.03999996
vbl_ssh_allreg_sep.60708,1.89999998
vbl_ssh_allreg_sep.60709,1.67999995
vbl_ssh_allreg_sep.60710,1.95000005
vbl_ssh_allreg_sep.60711,2.0999999
vbl_ssh_allreg_sep.60712,2.18000007
vbl_ssh_allreg_sep.60713,2.22000003
vbl_ssh_allreg_sep.60714,2.25
vbl_ssh_allreg_sep.60715,2.26999998
vbl_ssh_allreg_sep.60716,2.27999997
vbl_ssh_allreg_sep.60717,2.29999995
vbl_ssh_allreg_sep.60718,2.30999994
vbl_ssh_allreg_sep.60719,2.31999993
vbl_ssh_allreg_sep.60720,2.32999992
vbl_ssh_allreg_sep.60721,2.33999991
vbl_ssh_allreg_sep.60722,2.3499999
vbl_ssh_allreg_sep.60723,2.3599999
vbl_ssh_allreg_sep.60724,2.36999989
vbl_ssh_allreg_sep.60725,2.36999989
vbl_ssh_allreg_sep.60726,2.38000011
vbl_ssh_allreg_sep.60727,2.3900001
vbl_ssh_allreg_sep.60728,2.3900001
vbl_ssh_allreg_sep.60729,2.4000001
vbl_ssh_allreg_sep.60730,2.41000009
vbl_ssh_allreg_sep.60731,2.42000008
vbl_ssh_allreg_sep.60732,2.42000008
vbl_ssh_allreg_sep.60733,0.25
vbl_ssh_allreg_sep.60734,0.72000003
vbl_ssh_allreg_sep.60735,0.83999997
vbl_ssh_allreg_sep.60736,0.69999999
vbl_ssh_allreg_sep.39,2.53999996
vbl_ssh_allreg_sep.60737,1.12
vbl_ssh_allreg_sep.60738,1.37
vbl_ssh_allreg_sep.60739,1.5
vbl_ssh_allreg_sep.60740,1.57000005
vbl_ssh_allreg_sep.60741,1.62
vbl_ssh_allreg_sep.60742,1.66999996
vbl_ssh_allreg_sep.60743,1.71000004
vbl_ssh_allreg_sep.60744,1.75
vbl_ssh_allreg_sep.60745,1.78999996
vbl_ssh_allreg_sep.60746,1.83000004
vbl_ssh_allreg_sep.60747,1.85000002
vbl_ssh_allreg_sep.60748,1.89999998
vbl_ssh_allreg_sep.60749,1.92999995
vbl_ssh_allreg_sep.60750,1.96000004
vbl_ssh_allreg_sep.60751,1.98000002
vbl_ssh_allreg_sep.60752,2
vbl_ssh_allreg_sep.60753,2.01999998
vbl_ssh_allreg_sep.60754,2.02999997
vbl_ssh_allreg_sep.60755,2.03999996
vbl_ssh_allreg_sep.60756,2.03999996
vbl_ssh_allreg_sep.60757,2.01999998
vbl_ssh_allreg_sep.60758,1.95000005
vbl_ssh_allreg_sep.60759,1.76999998
vbl_ssh_allreg_sep.60760,1.38
vbl_ssh_allreg_sep.60761,1.76999998
vbl_ssh_allreg_sep.60762,1.99000001
vbl_ssh_allreg_sep.60763,2.0999999
vbl_ssh_allreg_sep.60764,2.16000009
vbl_ssh_allreg_sep.60765,2.21000004
vbl_ssh_allreg_sep.60766,2.23000002
vbl_ssh_allreg_sep.60767,2.25
vbl_ssh_allreg_sep.60768,2.26999998
vbl_ssh_allreg_sep.60769,2.27999997
vbl_ssh_allreg_sep.60770,2.29999995
vbl_ssh_allreg_sep.60771,2.30999994
vbl_ssh_allreg_sep.60772,2.31999993
vbl_ssh_allreg_sep.60773,2.32999992
vbl_ssh_allreg_sep.60774,2.33999991
vbl_ssh_allreg_sep.60775,2.3499999
vbl_ssh_allreg_sep.60776,2.3599999
vbl_ssh_allreg_sep.60777,2.3599999
vbl_ssh_allreg_sep.60778,2.36999989
vbl_ssh_allreg_sep.60779,2.38000011
vbl_ssh_allreg_sep.60780,2.3900001
vbl_ssh_allreg_sep.60781,2.3900001
vbl_ssh_allreg_sep.60782,2.4000001
vbl_ssh_allreg_sep.60783,2.41000009
vbl_ssh_allreg_sep.60784,2.41000009
vbl_ssh_allreg_sep.60785,0.46000001
vbl_ssh_allreg_sep.60786,0.69
vbl_ssh_allreg_sep.60787,1.28999996
vbl_ssh_allreg_sep.60788,1.45000005
vbl_ssh_allreg_sep.60789,1.50999999
vbl_ssh_allreg_sep.60790,1.58000004
vbl_ssh_allreg_sep.60791,1.63
vbl_ssh_allreg_sep.60792,1.66999996
vbl_ssh_allreg_sep.60793,1.71000004
vbl_ssh_allreg_sep.60794,1.74000001
vbl_ssh_allreg_sep.60795,1.77999997
vbl_ssh_allreg_sep.60796,1.82000005
vbl_ssh_allreg_sep.60797,1.86000001
vbl_ssh_allreg_sep.60798,1.88999999
vbl_ssh_allreg_sep.60799,1.90999997
vbl_ssh_allreg_sep.60800,1.92999995
vbl_ssh_allreg_sep.60801,1.91999996
vbl_ssh_allreg_sep.60802,1.97000003
vbl_ssh_allreg_sep.60803,1.99000001
vbl_ssh_allreg_sep.60804,2
vbl_ssh_allreg_sep.60805,2.00999999
vbl_ssh_allreg_sep.40,2.53999996
vbl_ssh_allreg_sep.60806,1.98000002
vbl_ssh_allreg_sep.60807,1.90999997
vbl_ssh_allreg_sep.60808,1.84000003
vbl_ssh_allreg_sep.60809,1.36000001
vbl_ssh_allreg_sep.60810,1.46000004
vbl_ssh_allreg_sep.60811,1.69000006
vbl_ssh_allreg_sep.60812,1.89999998
vbl_ssh_allreg_sep.60813,2.01999998
vbl_ssh_allreg_sep.60814,2.0999999
vbl_ssh_allreg_sep.60815,2.1500001
vbl_ssh_allreg_sep.60816,2.19000006
