FID,jun_ssh
vbl_ssh_allreg_jun.60557,1.78999996
vbl_ssh_allreg_jun.60558,1.79999995
vbl_ssh_allreg_jun.60559,1.79999995
vbl_ssh_allreg_jun.60560,1.80999994
vbl_ssh_allreg_jun.60561,1.80999994
vbl_ssh_allreg_jun.60562,1.82000005
vbl_ssh_allreg_jun.36,1.92999995
vbl_ssh_allreg_jun.60563,1.82000005
vbl_ssh_allreg_jun.60564,1.83000004
vbl_ssh_allreg_jun.60565,1.83000004
vbl_ssh_allreg_jun.60566,1.84000003
vbl_ssh_allreg_jun.60567,1.84000003
vbl_ssh_allreg_jun.60568,1.84000003
vbl_ssh_allreg_jun.60569,1.85000002
vbl_ssh_allreg_jun.60570,1.85000002
vbl_ssh_allreg_jun.60571,1.85000002
vbl_ssh_allreg_jun.60572,1.85000002
vbl_ssh_allreg_jun.60573,0.41
vbl_ssh_allreg_jun.60574,0.41
vbl_ssh_allreg_jun.60575,0.34999999
vbl_ssh_allreg_jun.60576,0.75999999
vbl_ssh_allreg_jun.60577,0.93000001
vbl_ssh_allreg_jun.60578,1.02999997
vbl_ssh_allreg_jun.60579,1.08000004
vbl_ssh_allreg_jun.60580,1.13999999
vbl_ssh_allreg_jun.60581,1.19000006
vbl_ssh_allreg_jun.60582,1.25
vbl_ssh_allreg_jun.60583,1.29999995
vbl_ssh_allreg_jun.60584,1.34000003
vbl_ssh_allreg_jun.60585,1.37
vbl_ssh_allreg_jun.60586,1.39999998
vbl_ssh_allreg_jun.60587,1.44000006
vbl_ssh_allreg_jun.60588,1.46000004
vbl_ssh_allreg_jun.60589,1.49000001
vbl_ssh_allreg_jun.60590,1.51999998
vbl_ssh_allreg_jun.60591,1.53999996
vbl_ssh_allreg_jun.60592,1.54999995
vbl_ssh_allreg_jun.60593,1.55999994
vbl_ssh_allreg_jun.60594,1.58000004
vbl_ssh_allreg_jun.60595,1.59000003
vbl_ssh_allreg_jun.60596,1.60000002
vbl_ssh_allreg_jun.37,1.92999995
vbl_ssh_allreg_jun.60597,1.62
vbl_ssh_allreg_jun.60598,1.63999999
vbl_ssh_allreg_jun.60599,1.64999998
vbl_ssh_allreg_jun.60600,1.65999997
vbl_ssh_allreg_jun.60601,1.66999996
vbl_ssh_allreg_jun.60602,1.66999996
vbl_ssh_allreg_jun.60603,1.67999995
vbl_ssh_allreg_jun.60604,1.69000006
vbl_ssh_allreg_jun.60605,1.69000006
vbl_ssh_allreg_jun.60606,1.72000003
vbl_ssh_allreg_jun.60607,1.74000001
vbl_ssh_allreg_jun.60608,1.75999999
vbl_ssh_allreg_jun.60609,1.76999998
vbl_ssh_allreg_jun.60610,1.77999997
vbl_ssh_allreg_jun.60611,1.78999996
vbl_ssh_allreg_jun.60612,1.79999995
vbl_ssh_allreg_jun.60613,1.79999995
vbl_ssh_allreg_jun.60614,1.80999994
vbl_ssh_allreg_jun.60615,1.80999994
vbl_ssh_allreg_jun.60616,1.82000005
vbl_ssh_allreg_jun.60617,1.82000005
vbl_ssh_allreg_jun.60618,1.83000004
vbl_ssh_allreg_jun.60619,1.83000004
vbl_ssh_allreg_jun.60620,1.83000004
vbl_ssh_allreg_jun.60621,1.84000003
vbl_ssh_allreg_jun.60622,1.84000003
vbl_ssh_allreg_jun.60623,1.84000003
vbl_ssh_allreg_jun.60624,1.85000002
vbl_ssh_allreg_jun.60625,1.85000002
vbl_ssh_allreg_jun.60626,1.85000002
vbl_ssh_allreg_jun.60627,0.31999999
vbl_ssh_allreg_jun.60628,0.28
vbl_ssh_allreg_jun.60629,0.77999997
vbl_ssh_allreg_jun.60630,0.94999999
vbl_ssh_allreg_jun.60631,1.00999999
vbl_ssh_allreg_jun.60633,1.14999998
vbl_ssh_allreg_jun.60634,1.19000006
vbl_ssh_allreg_jun.60635,1.25999999
vbl_ssh_allreg_jun.60636,1.30999994
vbl_ssh_allreg_jun.60637,1.34000003
vbl_ssh_allreg_jun.60638,1.37
vbl_ssh_allreg_jun.60639,1.39999998
vbl_ssh_allreg_jun.60640,1.44000006
vbl_ssh_allreg_jun.60641,1.47000003
vbl_ssh_allreg_jun.60642,1.49000001
vbl_ssh_allreg_jun.60643,1.50999999
vbl_ssh_allreg_jun.60644,1.52999997
vbl_ssh_allreg_jun.60645,1.53999996
vbl_ssh_allreg_jun.60646,1.54999995
vbl_ssh_allreg_jun.60647,1.57000005
vbl_ssh_allreg_jun.60648,1.59000003
vbl_ssh_allreg_jun.60649,1.60000002
vbl_ssh_allreg_jun.60650,1.61000001
vbl_ssh_allreg_jun.60651,1.62
vbl_ssh_allreg_jun.60652,1.63
vbl_ssh_allreg_jun.60653,1.63
vbl_ssh_allreg_jun.60654,1.63999999
vbl_ssh_allreg_jun.60655,1.63
vbl_ssh_allreg_jun.60656,1.63
vbl_ssh_allreg_jun.60657,1.60000002
vbl_ssh_allreg_jun.60658,1.66999996
vbl_ssh_allreg_jun.60659,1.69000006
vbl_ssh_allreg_jun.60660,1.73000002
vbl_ssh_allreg_jun.60661,1.75
vbl_ssh_allreg_jun.60662,1.76999998
vbl_ssh_allreg_jun.60663,1.77999997
vbl_ssh_allreg_jun.60664,1.77999997
vbl_ssh_allreg_jun.60665,1.78999996
vbl_ssh_allreg_jun.60666,1.79999995
vbl_ssh_allreg_jun.38,1.92999995
vbl_ssh_allreg_jun.60667,1.79999995
vbl_ssh_allreg_jun.60668,1.80999994
vbl_ssh_allreg_jun.60669,1.80999994
vbl_ssh_allreg_jun.60670,1.82000005
vbl_ssh_allreg_jun.60671,1.82000005
vbl_ssh_allreg_jun.60672,1.83000004
vbl_ssh_allreg_jun.60673,1.83000004
vbl_ssh_allreg_jun.60674,1.83000004
vbl_ssh_allreg_jun.60675,1.83000004
vbl_ssh_allreg_jun.60676,1.84000003
vbl_ssh_allreg_jun.60677,1.84000003
vbl_ssh_allreg_jun.60678,1.85000002
vbl_ssh_allreg_jun.60679,1.84000003
vbl_ssh_allreg_jun.60680,1.85000002
vbl_ssh_allreg_jun.60681,0.25
vbl_ssh_allreg_jun.60682,0.55000001
vbl_ssh_allreg_jun.60683,0.83999997
vbl_ssh_allreg_jun.60684,0.88999999
vbl_ssh_allreg_jun.60685,0.92000002
vbl_ssh_allreg_jun.60686,1.14999998
vbl_ssh_allreg_jun.60687,1.22000003
vbl_ssh_allreg_jun.60688,1.27999997
vbl_ssh_allreg_jun.60689,1.32000005
vbl_ssh_allreg_jun.60690,1.34000003
vbl_ssh_allreg_jun.60691,1.37
vbl_ssh_allreg_jun.60692,1.40999997
vbl_ssh_allreg_jun.60693,1.44000006
vbl_ssh_allreg_jun.60694,1.46000004
vbl_ssh_allreg_jun.60695,1.49000001
vbl_ssh_allreg_jun.60696,1.5
