FID,aug_ssh
vbl_ssh_allreg_aug.60558,1.77999997
vbl_ssh_allreg_aug.60559,1.78999996
vbl_ssh_allreg_aug.60560,1.79999995
vbl_ssh_allreg_aug.60561,1.80999994
vbl_ssh_allreg_aug.60562,1.80999994
vbl_ssh_allreg_aug.36,2
vbl_ssh_allreg_aug.60563,1.82000005
vbl_ssh_allreg_aug.60564,1.82000005
vbl_ssh_allreg_aug.60565,1.83000004
vbl_ssh_allreg_aug.60566,1.83000004
vbl_ssh_allreg_aug.60567,1.84000003
vbl_ssh_allreg_aug.60568,1.84000003
vbl_ssh_allreg_aug.60569,1.85000002
vbl_ssh_allreg_aug.60570,1.85000002
vbl_ssh_allreg_aug.60571,1.86000001
vbl_ssh_allreg_aug.60572,1.86000001
vbl_ssh_allreg_aug.60573,0.38999999
vbl_ssh_allreg_aug.60574,0.41
vbl_ssh_allreg_aug.60575,0.40000001
vbl_ssh_allreg_aug.60576,0.67000002
vbl_ssh_allreg_aug.60577,0.80000001
vbl_ssh_allreg_aug.60578,0.91000003
vbl_ssh_allreg_aug.60579,0.97000003
vbl_ssh_allreg_aug.60580,1.02999997
vbl_ssh_allreg_aug.60581,1.09000003
vbl_ssh_allreg_aug.60582,1.14999998
vbl_ssh_allreg_aug.60583,1.20000005
vbl_ssh_allreg_aug.60584,1.25
vbl_ssh_allreg_aug.60585,1.28999996
vbl_ssh_allreg_aug.60586,1.33000004
vbl_ssh_allreg_aug.60587,1.37
vbl_ssh_allreg_aug.60588,1.40999997
vbl_ssh_allreg_aug.60589,1.44000006
vbl_ssh_allreg_aug.60590,1.48000002
vbl_ssh_allreg_aug.60591,1.5
vbl_ssh_allreg_aug.60592,1.51999998
vbl_ssh_allreg_aug.60593,1.54999995
vbl_ssh_allreg_aug.60594,1.55999994
vbl_ssh_allreg_aug.60595,1.58000004
vbl_ssh_allreg_aug.60596,1.59000003
vbl_ssh_allreg_aug.37,1.99000001
vbl_ssh_allreg_aug.60597,1.61000001
vbl_ssh_allreg_aug.60598,1.63
vbl_ssh_allreg_aug.60599,1.63999999
vbl_ssh_allreg_aug.60600,1.65999997
vbl_ssh_allreg_aug.60601,1.66999996
vbl_ssh_allreg_aug.60602,1.67999995
vbl_ssh_allreg_aug.60603,1.67999995
vbl_ssh_allreg_aug.60604,1.69000006
vbl_ssh_allreg_aug.60605,1.67999995
vbl_ssh_allreg_aug.60606,1.69000006
vbl_ssh_allreg_aug.60607,1.71000004
vbl_ssh_allreg_aug.60608,1.73000002
vbl_ssh_allreg_aug.60609,1.75
vbl_ssh_allreg_aug.60610,1.75999999
vbl_ssh_allreg_aug.60611,1.76999998
vbl_ssh_allreg_aug.60612,1.77999997
vbl_ssh_allreg_aug.60613,1.78999996
vbl_ssh_allreg_aug.60614,1.79999995
vbl_ssh_allreg_aug.60615,1.79999995
vbl_ssh_allreg_aug.60616,1.80999994
vbl_ssh_allreg_aug.60617,1.80999994
vbl_ssh_allreg_aug.60618,1.82000005
vbl_ssh_allreg_aug.60619,1.83000004
vbl_ssh_allreg_aug.60620,1.83000004
vbl_ssh_allreg_aug.60621,1.84000003
vbl_ssh_allreg_aug.60622,1.84000003
vbl_ssh_allreg_aug.60623,1.84000003
vbl_ssh_allreg_aug.60624,1.85000002
vbl_ssh_allreg_aug.60625,1.85000002
vbl_ssh_allreg_aug.60626,1.86000001
