FID,ann_ssh
vbl_ssh_allreg_ann.60557,2.53999996
vbl_ssh_allreg_ann.60558,2.54999995
vbl_ssh_allreg_ann.60559,2.56999993
vbl_ssh_allreg_ann.60560,2.57999992
vbl_ssh_allreg_ann.60561,2.58999991
vbl_ssh_allreg_ann.60562,2.5999999
vbl_ssh_allreg_ann.36,3.06999993
vbl_ssh_allreg_ann.60563,2.6099999
vbl_ssh_allreg_ann.60564,2.61999989
vbl_ssh_allreg_ann.60565,2.63000011
vbl_ssh_allreg_ann.60566,2.6400001
vbl_ssh_allreg_ann.60567,2.6400001
vbl_ssh_allreg_ann.60568,2.6500001
vbl_ssh_allreg_ann.60569,2.66000009
vbl_ssh_allreg_ann.60570,2.67000008
vbl_ssh_allreg_ann.60571,2.67000008
vbl_ssh_allreg_ann.60572,2.67000008
vbl_ssh_allreg_ann.60573,0.56
vbl_ssh_allreg_ann.60574,0.57999998
vbl_ssh_allreg_ann.60575,0.52999997
vbl_ssh_allreg_ann.60576,1
vbl_ssh_allreg_ann.60577,1.21000004
vbl_ssh_allreg_ann.60578,1.36000001
vbl_ssh_allreg_ann.60579,1.44000006
vbl_ssh_allreg_ann.60580,1.51999998
vbl_ssh_allreg_ann.60581,1.60000002
vbl_ssh_allreg_ann.60582,1.67999995
vbl_ssh_allreg_ann.60583,1.75
vbl_ssh_allreg_ann.60584,1.80999994
vbl_ssh_allreg_ann.60585,1.86000001
vbl_ssh_allreg_ann.60586,1.90999997
vbl_ssh_allreg_ann.60587,1.97000003
vbl_ssh_allreg_ann.60588,2.00999999
vbl_ssh_allreg_ann.60589,2.04999995
vbl_ssh_allreg_ann.60590,2.08999991
vbl_ssh_allreg_ann.60591,2.13000011
vbl_ssh_allreg_ann.60592,2.16000009
vbl_ssh_allreg_ann.60593,2.19000006
vbl_ssh_allreg_ann.60594,2.22000003
vbl_ssh_allreg_ann.60595,2.24000001
vbl_ssh_allreg_ann.60596,2.25999999
vbl_ssh_allreg_ann.37,3.06999993
vbl_ssh_allreg_ann.60597,2.29999995
vbl_ssh_allreg_ann.60598,2.32999992
vbl_ssh_allreg_ann.60599,2.33999991
vbl_ssh_allreg_ann.60600,2.3499999
vbl_ssh_allreg_ann.60601,2.3599999
vbl_ssh_allreg_ann.60602,2.36999989
vbl_ssh_allreg_ann.60603,2.36999989
vbl_ssh_allreg_ann.60604,2.38000011
vbl_ssh_allreg_ann.60605,2.3599999
vbl_ssh_allreg_ann.60606,2.3900001
vbl_ssh_allreg_ann.60607,2.43000007
vbl_ssh_allreg_ann.60608,2.48000002
vbl_ssh_allreg_ann.60609,2.5
vbl_ssh_allreg_ann.60610,2.52999997
vbl_ssh_allreg_ann.60611,2.53999996
vbl_ssh_allreg_ann.60612,2.55999994
vbl_ssh_allreg_ann.60613,2.56999993
vbl_ssh_allreg_ann.60614,2.57999992
vbl_ssh_allreg_ann.60615,2.58999991
vbl_ssh_allreg_ann.60616,2.5999999
vbl_ssh_allreg_ann.60617,2.6099999
vbl_ssh_allreg_ann.60618,2.61999989
vbl_ssh_allreg_ann.60619,2.61999989
vbl_ssh_allreg_ann.60620,2.63000011
vbl_ssh_allreg_ann.60621,2.6400001
vbl_ssh_allreg_ann.60622,2.6400001
vbl_ssh_allreg_ann.60623,2.6500001
vbl_ssh_allreg_ann.60624,2.66000009
vbl_ssh_allreg_ann.60625,2.66000009
vbl_ssh_allreg_ann.60626,2.67000008
