FID,jan_ssh
vbl_ssh_allreg_jan.60557,3.28999996
vbl_ssh_allreg_jan.60558,3.31999993
vbl_ssh_allreg_jan.60559,3.32999992
vbl_ssh_allreg_jan.60560,3.3499999
vbl_ssh_allreg_jan.60561,3.3599999
vbl_ssh_allreg_jan.60562,3.38000011
vbl_ssh_allreg_jan.36,3.8900001
vbl_ssh_allreg_jan.60563,3.3900001
vbl_ssh_allreg_jan.60564,3.4000001
vbl_ssh_allreg_jan.60565,3.41000009
vbl_ssh_allreg_jan.60566,3.42000008
vbl_ssh_allreg_jan.60567,3.42000008
vbl_ssh_allreg_jan.60568,3.43000007
vbl_ssh_allreg_jan.60569,3.44000006
vbl_ssh_allreg_jan.60570,3.45000005
vbl_ssh_allreg_jan.60571,3.46000004
vbl_ssh_allreg_jan.60572,3.46000004
vbl_ssh_allreg_jan.60573,0.74000001
vbl_ssh_allreg_jan.60574,0.75
vbl_ssh_allreg_jan.60575,0.66000003
vbl_ssh_allreg_jan.60576,1.38999999
vbl_ssh_allreg_jan.60577,1.69000006
vbl_ssh_allreg_jan.60578,1.88999999
vbl_ssh_allreg_jan.60579,1.98000002
vbl_ssh_allreg_jan.60580,2.07999992
vbl_ssh_allreg_jan.60581,2.18000007
vbl_ssh_allreg_jan.60582,2.27999997
vbl_ssh_allreg_jan.60583,2.3599999
vbl_ssh_allreg_jan.60584,2.43000007
vbl_ssh_allreg_jan.60585,2.49000001
vbl_ssh_allreg_jan.60586,2.54999995
vbl_ssh_allreg_jan.60587,2.61999989
vbl_ssh_allreg_jan.60588,2.66000009
vbl_ssh_allreg_jan.60589,2.71000004
vbl_ssh_allreg_jan.60590,2.75999999
vbl_ssh_allreg_jan.60591,2.80999994
vbl_ssh_allreg_jan.60592,2.8499999
vbl_ssh_allreg_jan.60593,2.86999989
vbl_ssh_allreg_jan.60594,2.9000001
vbl_ssh_allreg_jan.60595,2.92000008
vbl_ssh_allreg_jan.60596,2.95000005
vbl_ssh_allreg_jan.37,3.8900001
vbl_ssh_allreg_jan.60597,3
vbl_ssh_allreg_jan.60598,3.03999996
vbl_ssh_allreg_jan.60599,3.05999994
vbl_ssh_allreg_jan.60600,3.05999994
vbl_ssh_allreg_jan.60601,3.05999994
vbl_ssh_allreg_jan.60602,3.05999994
vbl_ssh_allreg_jan.60603,3.06999993
vbl_ssh_allreg_jan.60604,3.06999993
vbl_ssh_allreg_jan.60605,3.03999996
vbl_ssh_allreg_jan.60606,3.0999999
vbl_ssh_allreg_jan.60607,3.16000009
vbl_ssh_allreg_jan.60608,3.22000003
vbl_ssh_allreg_jan.60609,3.25999999
vbl_ssh_allreg_jan.60610,3.27999997
vbl_ssh_allreg_jan.60611,3.29999995
vbl_ssh_allreg_jan.60612,3.31999993
vbl_ssh_allreg_jan.60613,3.33999991
vbl_ssh_allreg_jan.60614,3.3499999
vbl_ssh_allreg_jan.60615,3.3599999
vbl_ssh_allreg_jan.60616,3.36999989
vbl_ssh_allreg_jan.60617,3.38000011
vbl_ssh_allreg_jan.60618,3.3900001
vbl_ssh_allreg_jan.60619,3.4000001
vbl_ssh_allreg_jan.60620,3.41000009
vbl_ssh_allreg_jan.60621,3.42000008
vbl_ssh_allreg_jan.60622,3.42000008
vbl_ssh_allreg_jan.60623,3.43000007
vbl_ssh_allreg_jan.60624,3.44000006
vbl_ssh_allreg_jan.60625,3.44000006
vbl_ssh_allreg_jan.60626,3.45000005
vbl_ssh_allreg_jan.60627,0.58999997
vbl_ssh_allreg_jan.60628,0.54000002
vbl_ssh_allreg_jan.60629,1.39999998
vbl_ssh_allreg_jan.60630,1.71000004
vbl_ssh_allreg_jan.60631,1.84000003
vbl_ssh_allreg_jan.60633,2.06999993
vbl_ssh_allreg_jan.60634,2.16000009
vbl_ssh_allreg_jan.60635,2.28999996
vbl_ssh_allreg_jan.60636,2.36999989
vbl_ssh_allreg_jan.60637,2.42000008
vbl_ssh_allreg_jan.60638,2.48000002
vbl_ssh_allreg_jan.60639,2.55999994
vbl_ssh_allreg_jan.60640,2.61999989
vbl_ssh_allreg_jan.60641,2.66000009
vbl_ssh_allreg_jan.60642,2.71000004
vbl_ssh_allreg_jan.60643,2.75
vbl_ssh_allreg_jan.60644,2.78999996
vbl_ssh_allreg_jan.60645,2.82999992
vbl_ssh_allreg_jan.60646,2.8599999
vbl_ssh_allreg_jan.60647,2.8900001
vbl_ssh_allreg_jan.60648,2.92000008
vbl_ssh_allreg_jan.60649,2.96000004
vbl_ssh_allreg_jan.60650,2.99000001
vbl_ssh_allreg_jan.60651,3.00999999
vbl_ssh_allreg_jan.60652,3.00999999
vbl_ssh_allreg_jan.60653,3.00999999
vbl_ssh_allreg_jan.60654,3
vbl_ssh_allreg_jan.60655,2.98000002
vbl_ssh_allreg_jan.60656,2.95000005
vbl_ssh_allreg_jan.60657,2.80999994
vbl_ssh_allreg_jan.60658,2.96000004
vbl_ssh_allreg_jan.60659,3.03999996
vbl_ssh_allreg_jan.60660,3.1500001
vbl_ssh_allreg_jan.60661,3.21000004
vbl_ssh_allreg_jan.60662,3.24000001
vbl_ssh_allreg_jan.60663,3.26999998
vbl_ssh_allreg_jan.60664,3.28999996
vbl_ssh_allreg_jan.60665,3.30999994
vbl_ssh_allreg_jan.60666,3.31999993
vbl_ssh_allreg_jan.38,3.8900001
vbl_ssh_allreg_jan.60667,3.32999992
vbl_ssh_allreg_jan.60668,3.3499999
vbl_ssh_allreg_jan.60669,3.3599999
vbl_ssh_allreg_jan.60670,3.36999989
vbl_ssh_allreg_jan.60671,3.38000011
vbl_ssh_allreg_jan.60672,3.3900001
vbl_ssh_allreg_jan.60673,3.3900001
vbl_ssh_allreg_jan.60674,3.4000001
vbl_ssh_allreg_jan.60675,3.41000009
vbl_ssh_allreg_jan.60676,3.42000008
vbl_ssh_allreg_jan.60677,3.43000007
vbl_ssh_allreg_jan.60678,3.44000006
vbl_ssh_allreg_jan.60679,3.44000006
vbl_ssh_allreg_jan.60680,3.44000006
vbl_ssh_allreg_jan.60681,0.46000001
vbl_ssh_allreg_jan.60682,1
vbl_ssh_allreg_jan.60683,1.5
vbl_ssh_allreg_jan.60684,1.57000005
vbl_ssh_allreg_jan.60685,1.62
vbl_ssh_allreg_jan.60686,2.05999994
vbl_ssh_allreg_jan.60687,2.21000004
vbl_ssh_allreg_jan.60688,2.30999994
vbl_ssh_allreg_jan.60689,2.38000011
vbl_ssh_allreg_jan.60690,2.43000007
vbl_ssh_allreg_jan.60691,2.49000001
vbl_ssh_allreg_jan.60692,2.55999994
vbl_ssh_allreg_jan.60693,2.5999999
vbl_ssh_allreg_jan.60694,2.6500001
vbl_ssh_allreg_jan.60695,2.70000005
vbl_ssh_allreg_jan.60696,2.72000003
vbl_ssh_allreg_jan.60697,2.76999998
vbl_ssh_allreg_jan.60698,2.81999993
vbl_ssh_allreg_jan.60699,2.8499999
vbl_ssh_allreg_jan.60700,2.88000011
vbl_ssh_allreg_jan.60701,2.9000001
vbl_ssh_allreg_jan.60703,2.95000005
vbl_ssh_allreg_jan.60704,2.95000005
vbl_ssh_allreg_jan.60705,2.93000007
vbl_ssh_allreg_jan.60706,2.8900001
vbl_ssh_allreg_jan.60707,2.77999997
vbl_ssh_allreg_jan.60708,2.5
vbl_ssh_allreg_jan.60709,2.49000001
vbl_ssh_allreg_jan.60710,2.82999992
vbl_ssh_allreg_jan.60711,3.01999998
vbl_ssh_allreg_jan.60712,3.11999989
vbl_ssh_allreg_jan.60713,3.18000007
vbl_ssh_allreg_jan.60714,3.22000003
vbl_ssh_allreg_jan.60715,3.25
vbl_ssh_allreg_jan.60716,3.26999998
vbl_ssh_allreg_jan.60717,3.28999996
vbl_ssh_allreg_jan.60718,3.29999995
vbl_ssh_allreg_jan.60719,3.30999994
vbl_ssh_allreg_jan.60720,3.32999992
vbl_ssh_allreg_jan.60721,3.33999991
vbl_ssh_allreg_jan.60722,3.3499999
vbl_ssh_allreg_jan.60723,3.3599999
vbl_ssh_allreg_jan.60724,3.36999989
vbl_ssh_allreg_jan.60725,3.38000011
vbl_ssh_allreg_jan.60726,3.3900001
vbl_ssh_allreg_jan.60727,3.4000001
vbl_ssh_allreg_jan.60728,3.4000001
vbl_ssh_allreg_jan.60729,3.41000009
vbl_ssh_allreg_jan.60730,3.42000008
vbl_ssh_allreg_jan.60731,3.43000007
vbl_ssh_allreg_jan.60732,3.43000007
vbl_ssh_allreg_jan.60733,0.33000001
vbl_ssh_allreg_jan.60734,1
vbl_ssh_allreg_jan.60735,1.14999998
vbl_ssh_allreg_jan.60736,1.10000002
vbl_ssh_allreg_jan.39,3.8900001
vbl_ssh_allreg_jan.60737,1.74000001
vbl_ssh_allreg_jan.60738,2.05999994
vbl_ssh_allreg_jan.60739,2.23000002
vbl_ssh_allreg_jan.60740,2.31999993
vbl_ssh_allreg_jan.60741,2.38000011
vbl_ssh_allreg_jan.60742,2.43000007
vbl_ssh_allreg_jan.60743,2.48000002
vbl_ssh_allreg_jan.60744,2.50999999
vbl_ssh_allreg_jan.60745,2.55999994
vbl_ssh_allreg_jan.60746,2.61999989
vbl_ssh_allreg_jan.60747,2.6400001
vbl_ssh_allreg_jan.60748,2.70000005
vbl_ssh_allreg_jan.60749,2.75
vbl_ssh_allreg_jan.60750,2.78999996
vbl_ssh_allreg_jan.60751,2.81999993
vbl_ssh_allreg_jan.60752,2.83999991
vbl_ssh_allreg_jan.60753,2.88000011
vbl_ssh_allreg_jan.60754,2.8900001
vbl_ssh_allreg_jan.60755,2.88000011
vbl_ssh_allreg_jan.60756,2.8599999
vbl_ssh_allreg_jan.60757,2.78999996
vbl_ssh_allreg_jan.60758,2.61999989
vbl_ssh_allreg_jan.60759,2.29999995
vbl_ssh_allreg_jan.60760,2.16000009
vbl_ssh_allreg_jan.60761,2.66000009
vbl_ssh_allreg_jan.60762,2.9000001
vbl_ssh_allreg_jan.60763,3.02999997
vbl_ssh_allreg_jan.60764,3.1099999
vbl_ssh_allreg_jan.60765,3.17000008
vbl_ssh_allreg_jan.60766,3.20000005
vbl_ssh_allreg_jan.60767,3.23000002
vbl_ssh_allreg_jan.60768,3.25
vbl_ssh_allreg_jan.60769,3.26999998
vbl_ssh_allreg_jan.60770,3.27999997
vbl_ssh_allreg_jan.60771,3.28999996
vbl_ssh_allreg_jan.60772,3.29999995
vbl_ssh_allreg_jan.60773,3.31999993
vbl_ssh_allreg_jan.60774,3.32999992
vbl_ssh_allreg_jan.60775,3.33999991
vbl_ssh_allreg_jan.60776,3.3499999
vbl_ssh_allreg_jan.60777,3.3599999
vbl_ssh_allreg_jan.60778,3.36999989
vbl_ssh_allreg_jan.60779,3.38000011
vbl_ssh_allreg_jan.60780,3.3900001
vbl_ssh_allreg_jan.60781,3.4000001
vbl_ssh_allreg_jan.60782,3.4000001
vbl_ssh_allreg_jan.60783,3.41000009
vbl_ssh_allreg_jan.60784,3.42000008
vbl_ssh_allreg_jan.60785,0.75999999
vbl_ssh_allreg_jan.60786,1.13999999
vbl_ssh_allreg_jan.60787,1.94000006
vbl_ssh_allreg_jan.60788,2.16000009
vbl_ssh_allreg_jan.60789,2.23000002
vbl_ssh_allreg_jan.60790,2.31999993
vbl_ssh_allreg_jan.60791,2.38000011
vbl_ssh_allreg_jan.60792,2.42000008
vbl_ssh_allreg_jan.60793,2.45000005
vbl_ssh_allreg_jan.60794,2.48000002
vbl_ssh_allreg_jan.60795,2.53999996
vbl_ssh_allreg_jan.60796,2.57999992
vbl_ssh_allreg_jan.60797,2.63000011
vbl_ssh_allreg_jan.60798,2.66000009
vbl_ssh_allreg_jan.60799,2.68000007
vbl_ssh_allreg_jan.60800,2.70000005
vbl_ssh_allreg_jan.60801,2.69000006
