FID,feb_ssh
vbl_ssh_allreg_feb.60557,3.20000005
vbl_ssh_allreg_feb.60558,3.22000003
vbl_ssh_allreg_feb.60559,3.23000002
vbl_ssh_allreg_feb.60560,3.25
vbl_ssh_allreg_feb.60561,3.25999999
vbl_ssh_allreg_feb.60562,3.27999997
vbl_ssh_allreg_feb.36,3.94000006
vbl_ssh_allreg_feb.60563,3.28999996
vbl_ssh_allreg_feb.60564,3.28999996
vbl_ssh_allreg_feb.60565,3.29999995
vbl_ssh_allreg_feb.60566,3.30999994
vbl_ssh_allreg_feb.60567,3.30999994
vbl_ssh_allreg_feb.60568,3.31999993
vbl_ssh_allreg_feb.60569,3.32999992
vbl_ssh_allreg_feb.60570,3.33999991
vbl_ssh_allreg_feb.60571,3.33999991
vbl_ssh_allreg_feb.60572,3.33999991
vbl_ssh_allreg_feb.60573,0.72000003
vbl_ssh_allreg_feb.60574,0.73000002
vbl_ssh_allreg_feb.60575,0.63
vbl_ssh_allreg_feb.60576,1.32000005
vbl_ssh_allreg_feb.60577,1.61000001
vbl_ssh_allreg_feb.60578,1.79999995
vbl_ssh_allreg_feb.60579,1.89999998
vbl_ssh_allreg_feb.60580,2
vbl_ssh_allreg_feb.60581,2.08999991
vbl_ssh_allreg_feb.60582,2.19000006
vbl_ssh_allreg_feb.60583,2.26999998
vbl_ssh_allreg_feb.60584,2.3499999
vbl_ssh_allreg_feb.60585,2.4000001
vbl_ssh_allreg_feb.60586,2.47000003
vbl_ssh_allreg_feb.60587,2.52999997
vbl_ssh_allreg_feb.60588,2.57999992
vbl_ssh_allreg_feb.60589,2.61999989
vbl_ssh_allreg_feb.60590,2.67000008
vbl_ssh_allreg_feb.60591,2.72000003
vbl_ssh_allreg_feb.60592,2.75999999
vbl_ssh_allreg_feb.60593,2.79999995
vbl_ssh_allreg_feb.60594,2.82999992
vbl_ssh_allreg_feb.60595,2.83999991
vbl_ssh_allreg_feb.60596,2.86999989
vbl_ssh_allreg_feb.37,3.94000006
vbl_ssh_allreg_feb.60597,2.93000007
vbl_ssh_allreg_feb.60598,2.96000004
vbl_ssh_allreg_feb.60599,2.97000003
vbl_ssh_allreg_feb.60600,2.97000003
vbl_ssh_allreg_feb.60601,2.97000003
vbl_ssh_allreg_feb.60602,2.98000002
vbl_ssh_allreg_feb.60603,2.99000001
vbl_ssh_allreg_feb.60604,2.99000001
vbl_ssh_allreg_feb.60605,2.96000004
vbl_ssh_allreg_feb.60606,3.00999999
vbl_ssh_allreg_feb.60607,3.05999994
vbl_ssh_allreg_feb.60608,3.11999989
vbl_ssh_allreg_feb.60609,3.1500001
vbl_ssh_allreg_feb.60610,3.18000007
vbl_ssh_allreg_feb.60611,3.20000005
vbl_ssh_allreg_feb.60612,3.22000003
vbl_ssh_allreg_feb.60613,3.23000002
vbl_ssh_allreg_feb.60614,3.25
vbl_ssh_allreg_feb.60615,3.25999999
vbl_ssh_allreg_feb.60616,3.26999998
vbl_ssh_allreg_feb.60617,3.26999998
vbl_ssh_allreg_feb.60618,3.27999997
vbl_ssh_allreg_feb.60619,3.28999996
vbl_ssh_allreg_feb.60620,3.29999995
vbl_ssh_allreg_feb.60621,3.29999995
vbl_ssh_allreg_feb.60622,3.30999994
vbl_ssh_allreg_feb.60623,3.30999994
vbl_ssh_allreg_feb.60624,3.31999993
vbl_ssh_allreg_feb.60625,3.31999993
vbl_ssh_allreg_feb.60626,3.32999992
vbl_ssh_allreg_feb.60627,0.57999998
vbl_ssh_allreg_feb.60628,0.51999998
vbl_ssh_allreg_feb.60629,1.33000004
vbl_ssh_allreg_feb.60630,1.63999999
vbl_ssh_allreg_feb.60631,1.77999997
vbl_ssh_allreg_feb.60633,1.99000001
vbl_ssh_allreg_feb.60634,2.07999992
vbl_ssh_allreg_feb.60635,2.21000004
vbl_ssh_allreg_feb.60636,2.28999996
vbl_ssh_allreg_feb.60637,2.33999991
vbl_ssh_allreg_feb.60638,2.4000001
vbl_ssh_allreg_feb.60639,2.47000003
vbl_ssh_allreg_feb.60640,2.52999997
vbl_ssh_allreg_feb.60641,2.57999992
vbl_ssh_allreg_feb.60642,2.61999989
vbl_ssh_allreg_feb.60643,2.67000008
vbl_ssh_allreg_feb.60644,2.71000004
vbl_ssh_allreg_feb.60645,2.75
vbl_ssh_allreg_feb.60646,2.77999997
vbl_ssh_allreg_feb.60647,2.80999994
vbl_ssh_allreg_feb.60648,2.83999991
vbl_ssh_allreg_feb.60649,2.88000011
vbl_ssh_allreg_feb.60650,2.91000009
vbl_ssh_allreg_feb.60651,2.93000007
vbl_ssh_allreg_feb.60652,2.93000007
vbl_ssh_allreg_feb.60653,2.93000007
vbl_ssh_allreg_feb.60654,2.93000007
vbl_ssh_allreg_feb.60655,2.91000009
vbl_ssh_allreg_feb.60656,2.88000011
vbl_ssh_allreg_feb.60657,2.75
vbl_ssh_allreg_feb.60658,2.88000011
vbl_ssh_allreg_feb.60659,2.94000006
vbl_ssh_allreg_feb.60660,3.03999996
vbl_ssh_allreg_feb.60661,3.0999999
vbl_ssh_allreg_feb.60662,3.1400001
vbl_ssh_allreg_feb.60663,3.16000009
vbl_ssh_allreg_feb.60664,3.18000007
vbl_ssh_allreg_feb.60665,3.20000005
vbl_ssh_allreg_feb.60666,3.21000004
vbl_ssh_allreg_feb.38,3.94000006
vbl_ssh_allreg_feb.60667,3.23000002
vbl_ssh_allreg_feb.60668,3.24000001
vbl_ssh_allreg_feb.60669,3.25
vbl_ssh_allreg_feb.60670,3.25
vbl_ssh_allreg_feb.60671,3.25999999
vbl_ssh_allreg_feb.60672,3.26999998
vbl_ssh_allreg_feb.60673,3.27999997
vbl_ssh_allreg_feb.60674,3.28999996
vbl_ssh_allreg_feb.60675,3.28999996
vbl_ssh_allreg_feb.60676,3.29999995
vbl_ssh_allreg_feb.60677,3.30999994
vbl_ssh_allreg_feb.60678,3.30999994
vbl_ssh_allreg_feb.60679,3.30999994
vbl_ssh_allreg_feb.60680,3.31999993
vbl_ssh_allreg_feb.60681,0.44999999
vbl_ssh_allreg_feb.60682,0.98000002
vbl_ssh_allreg_feb.60683,1.47000003
vbl_ssh_allreg_feb.60684,1.52999997
vbl_ssh_allreg_feb.60685,1.57000005
vbl_ssh_allreg_feb.60686,1.98000002
vbl_ssh_allreg_feb.60687,2.13000011
vbl_ssh_allreg_feb.60688,2.23000002
vbl_ssh_allreg_feb.60689,2.29999995
vbl_ssh_allreg_feb.60690,2.3499999
vbl_ssh_allreg_feb.60691,2.41000009
vbl_ssh_allreg_feb.60692,2.47000003
vbl_ssh_allreg_feb.60693,2.51999998
vbl_ssh_allreg_feb.60694,2.55999994
vbl_ssh_allreg_feb.60695,2.6099999
vbl_ssh_allreg_feb.60696,2.6400001
vbl_ssh_allreg_feb.60697,2.69000006
vbl_ssh_allreg_feb.60698,2.74000001
vbl_ssh_allreg_feb.60699,2.77999997
vbl_ssh_allreg_feb.60700,2.79999995
vbl_ssh_allreg_feb.60701,2.82999992
vbl_ssh_allreg_feb.60703,2.86999989
vbl_ssh_allreg_feb.60704,2.88000011
vbl_ssh_allreg_feb.60705,2.86999989
vbl_ssh_allreg_feb.60706,2.82999992
vbl_ssh_allreg_feb.60707,2.73000002
vbl_ssh_allreg_feb.60708,2.48000002
vbl_ssh_allreg_feb.60709,2.4000001
vbl_ssh_allreg_feb.60710,2.73000002
vbl_ssh_allreg_feb.60711,2.91000009
vbl_ssh_allreg_feb.60712,3.00999999
vbl_ssh_allreg_feb.60713,3.06999993
vbl_ssh_allreg_feb.60714,3.1099999
vbl_ssh_allreg_feb.60715,3.1400001
vbl_ssh_allreg_feb.60716,3.16000009
vbl_ssh_allreg_feb.60717,3.18000007
vbl_ssh_allreg_feb.60718,3.19000006
vbl_ssh_allreg_feb.60719,3.20000005
vbl_ssh_allreg_feb.60720,3.21000004
vbl_ssh_allreg_feb.60721,3.22000003
vbl_ssh_allreg_feb.60722,3.23000002
vbl_ssh_allreg_feb.60723,3.24000001
vbl_ssh_allreg_feb.60724,3.25
vbl_ssh_allreg_feb.60725,3.25999999
vbl_ssh_allreg_feb.60726,3.26999998
vbl_ssh_allreg_feb.60727,3.26999998
vbl_ssh_allreg_feb.60728,3.27999997
vbl_ssh_allreg_feb.60729,3.28999996
vbl_ssh_allreg_feb.60730,3.28999996
vbl_ssh_allreg_feb.60731,3.29999995
vbl_ssh_allreg_feb.60732,3.29999995
vbl_ssh_allreg_feb.60733,0.31999999
vbl_ssh_allreg_feb.60734,0.99000001
vbl_ssh_allreg_feb.60735,1.13999999
vbl_ssh_allreg_feb.60736,1.04999995
vbl_ssh_allreg_feb.39,3.94000006
vbl_ssh_allreg_feb.60737,1.66999996
vbl_ssh_allreg_feb.60738,1.98000002
vbl_ssh_allreg_feb.60739,2.16000009
vbl_ssh_allreg_feb.60740,2.24000001
vbl_ssh_allreg_feb.60741,2.29999995
vbl_ssh_allreg_feb.60742,2.3499999
vbl_ssh_allreg_feb.60743,2.4000001
vbl_ssh_allreg_feb.60744,2.43000007
vbl_ssh_allreg_feb.60745,2.47000003
vbl_ssh_allreg_feb.60746,2.52999997
vbl_ssh_allreg_feb.60747,2.54999995
vbl_ssh_allreg_feb.60748,2.61999989
vbl_ssh_allreg_feb.60749,2.67000008
vbl_ssh_allreg_feb.60750,2.71000004
vbl_ssh_allreg_feb.60751,2.74000001
vbl_ssh_allreg_feb.60752,2.76999998
vbl_ssh_allreg_feb.60753,2.79999995
vbl_ssh_allreg_feb.60754,2.81999993
vbl_ssh_allreg_feb.60755,2.81999993
vbl_ssh_allreg_feb.60756,2.79999995
vbl_ssh_allreg_feb.60757,2.73000002
vbl_ssh_allreg_feb.60758,2.57999992
vbl_ssh_allreg_feb.60759,2.27999997
vbl_ssh_allreg_feb.60760,2.04999995
vbl_ssh_allreg_feb.60761,2.53999996
vbl_ssh_allreg_feb.60762,2.77999997
vbl_ssh_allreg_feb.60763,2.91000009
vbl_ssh_allreg_feb.60764,2.99000001
vbl_ssh_allreg_feb.60765,3.04999995
vbl_ssh_allreg_feb.60766,3.08999991
vbl_ssh_allreg_feb.60767,3.11999989
vbl_ssh_allreg_feb.60768,3.1400001
vbl_ssh_allreg_feb.60769,3.1500001
vbl_ssh_allreg_feb.60770,3.17000008
vbl_ssh_allreg_feb.60771,3.18000007
vbl_ssh_allreg_feb.60772,3.19000006
vbl_ssh_allreg_feb.60773,3.20000005
vbl_ssh_allreg_feb.60774,3.21000004
vbl_ssh_allreg_feb.60775,3.22000003
vbl_ssh_allreg_feb.60776,3.23000002
vbl_ssh_allreg_feb.60777,3.24000001
vbl_ssh_allreg_feb.60778,3.25
vbl_ssh_allreg_feb.60779,3.25999999
vbl_ssh_allreg_feb.60780,3.25999999
vbl_ssh_allreg_feb.60781,3.26999998
vbl_ssh_allreg_feb.60782,3.26999998
vbl_ssh_allreg_feb.60783,3.27999997
vbl_ssh_allreg_feb.60784,3.28999996
vbl_ssh_allreg_feb.60785,0.70999998
vbl_ssh_allreg_feb.60786,1.07000005
vbl_ssh_allreg_feb.60787,1.87
