FID,nov_ssh
vbl_ssh_allreg_nov.60182,2.6500001
vbl_ssh_allreg_nov.60183,2.69000006
vbl_ssh_allreg_nov.60184,2.74000001
vbl_ssh_allreg_nov.60185,2.77999997
vbl_ssh_allreg_nov.60186,2.82999992
vbl_ssh_allreg_nov.60187,2.88000011
vbl_ssh_allreg_nov.60188,2.92000008
vbl_ssh_allreg_nov.60189,2.95000005
vbl_ssh_allreg_nov.60190,2.97000003
vbl_ssh_allreg_nov.60191,3.00999999
vbl_ssh_allreg_nov.60192,3.03999996
vbl_ssh_allreg_nov.60193,3.06999993
vbl_ssh_allreg_nov.60194,3.0999999
vbl_ssh_allreg_nov.60195,3.13000011
vbl_ssh_allreg_nov.60196,3.1500001
vbl_ssh_allreg_nov.60197,3.17000008
vbl_ssh_allreg_nov.60198,3.19000006
vbl_ssh_allreg_nov.60199,3.21000004
vbl_ssh_allreg_nov.60200,3.22000003
vbl_ssh_allreg_nov.60201,3.23000002
vbl_ssh_allreg_nov.60202,3.25
vbl_ssh_allreg_nov.60203,3.25999999
vbl_ssh_allreg_nov.60204,3.27999997
vbl_ssh_allreg_nov.60205,3.28999996
vbl_ssh_allreg_nov.60206,3.30999994
vbl_ssh_allreg_nov.60207,3.31999993
vbl_ssh_allreg_nov.60208,3.32999992
vbl_ssh_allreg_nov.60209,1.33000004
vbl_ssh_allreg_nov.60210,1.39999998
vbl_ssh_allreg_nov.60211,1.47000003
vbl_ssh_allreg_nov.60212,1.39999998
vbl_ssh_allreg_nov.60213,1.13999999
vbl_ssh_allreg_nov.60214,1.29999995
vbl_ssh_allreg_nov.60215,1.20000005
vbl_ssh_allreg_nov.60216,1.01999998
vbl_ssh_allreg_nov.60218,0.74000001
vbl_ssh_allreg_nov.60219,1.41999996
vbl_ssh_allreg_nov.60220,1.61000001
vbl_ssh_allreg_nov.60221,1.90999997
vbl_ssh_allreg_nov.60222,2.06999993
vbl_ssh_allreg_nov.60223,2.19000006
vbl_ssh_allreg_nov.60224,2.28999996
vbl_ssh_allreg_nov.60225,2.38000011
vbl_ssh_allreg_nov.60226,2.46000004
vbl_ssh_allreg_nov.60227,2.52999997
vbl_ssh_allreg_nov.60228,2.57999992
vbl_ssh_allreg_nov.60229,2.61999989
vbl_ssh_allreg_nov.60230,2.68000007
vbl_ssh_allreg_nov.60231,2.73000002
vbl_ssh_allreg_nov.60232,2.77999997
vbl_ssh_allreg_nov.60233,2.83999991
vbl_ssh_allreg_nov.60234,2.88000011
vbl_ssh_allreg_nov.60235,2.9000001
vbl_ssh_allreg_nov.60236,2.93000007
vbl_ssh_allreg_nov.60237,2.95000005
vbl_ssh_allreg_nov.60238,2.99000001
vbl_ssh_allreg_nov.60239,3.01999998
vbl_ssh_allreg_nov.60240,3.04999995
vbl_ssh_allreg_nov.60241,3.07999992
vbl_ssh_allreg_nov.60242,3.1099999
vbl_ssh_allreg_nov.60243,3.13000011
vbl_ssh_allreg_nov.60244,3.1500001
vbl_ssh_allreg_nov.60245,3.17000008
vbl_ssh_allreg_nov.60246,3.19000006
vbl_ssh_allreg_nov.60247,3.20000005
vbl_ssh_allreg_nov.60248,3.22000003
vbl_ssh_allreg_nov.60249,3.23000002
vbl_ssh_allreg_nov.60250,3.25
vbl_ssh_allreg_nov.60251,3.25999999
vbl_ssh_allreg_nov.60252,3.26999998
vbl_ssh_allreg_nov.60253,3.28999996
vbl_ssh_allreg_nov.60254,3.30999994
vbl_ssh_allreg_nov.60255,3.30999994
vbl_ssh_allreg_nov.60256,3.32999992
vbl_ssh_allreg_nov.60257,1
vbl_ssh_allreg_nov.60258,1.21000004
vbl_ssh_allreg_nov.60259,1.26999998
vbl_ssh_allreg_nov.60260,1.07000005
vbl_ssh_allreg_nov.60261,0.54000002
vbl_ssh_allreg_nov.60262,1.05999994
vbl_ssh_allreg_nov.60263,1.02999997
vbl_ssh_allreg_nov.60264,0.95999998
vbl_ssh_allreg_nov.60265,0.92000002
vbl_ssh_allreg_nov.60266,0.99000001
vbl_ssh_allreg_nov.60267,1.08000004
vbl_ssh_allreg_nov.60268,1.21000004
vbl_ssh_allreg_nov.60269,1.51999998
vbl_ssh_allreg_nov.60270,1.67999995
vbl_ssh_allreg_nov.60271,1.89999998
vbl_ssh_allreg_nov.60272,2.02999997
vbl_ssh_allreg_nov.60273,2.1400001
vbl_ssh_allreg_nov.60274,2.23000002
vbl_ssh_allreg_nov.60275,2.31999993
vbl_ssh_allreg_nov.60276,2.4000001
vbl_ssh_allreg_nov.60277,2.46000004
vbl_ssh_allreg_nov.60278,2.51999998
vbl_ssh_allreg_nov.60279,2.56999993
vbl_ssh_allreg_nov.60280,2.63000011
vbl_ssh_allreg_nov.60281,2.67000008
vbl_ssh_allreg_nov.60282,2.72000003
vbl_ssh_allreg_nov.60283,2.77999997
vbl_ssh_allreg_nov.60284,2.81999993
vbl_ssh_allreg_nov.60285,2.8499999
vbl_ssh_allreg_nov.60286,2.88000011
vbl_ssh_allreg_nov.60288,2.92000008
vbl_ssh_allreg_nov.60289,2.96000004
vbl_ssh_allreg_nov.60290,3
vbl_ssh_allreg_nov.60291,3.02999997
vbl_ssh_allreg_nov.60292,3.05999994
vbl_ssh_allreg_nov.60294,3.1099999
vbl_ssh_allreg_nov.60295,3.13000011
