FID,jul_ssh
vbl_ssh_allreg_jul.60559,1.58000004
vbl_ssh_allreg_jul.60560,1.59000003
vbl_ssh_allreg_jul.60561,1.59000003
vbl_ssh_allreg_jul.60562,1.60000002
vbl_ssh_allreg_jul.36,1.83000004
vbl_ssh_allreg_jul.60563,1.60000002
vbl_ssh_allreg_jul.60564,1.60000002
vbl_ssh_allreg_jul.60565,1.61000001
vbl_ssh_allreg_jul.60566,1.61000001
vbl_ssh_allreg_jul.60567,1.61000001
vbl_ssh_allreg_jul.60568,1.62
vbl_ssh_allreg_jul.60569,1.62
vbl_ssh_allreg_jul.60570,1.62
vbl_ssh_allreg_jul.60571,1.63
vbl_ssh_allreg_jul.60572,1.63
vbl_ssh_allreg_jul.60573,0.34
vbl_ssh_allreg_jul.60574,0.34999999
vbl_ssh_allreg_jul.60575,0.31999999
vbl_ssh_allreg_jul.60576,0.63
vbl_ssh_allreg_jul.60577,0.75999999
vbl_ssh_allreg_jul.60578,0.85000002
vbl_ssh_allreg_jul.60579,0.89999998
vbl_ssh_allreg_jul.60580,0.94999999
vbl_ssh_allreg_jul.60581,1.00999999
vbl_ssh_allreg_jul.60582,1.05999994
vbl_ssh_allreg_jul.60583,1.10000002
vbl_ssh_allreg_jul.60584,1.14999998
vbl_ssh_allreg_jul.60585,1.17999995
vbl_ssh_allreg_jul.60586,1.21000004
vbl_ssh_allreg_jul.60587,1.25
vbl_ssh_allreg_jul.60588,1.26999998
vbl_ssh_allreg_jul.60589,1.29999995
vbl_ssh_allreg_jul.60590,1.33000004
vbl_ssh_allreg_jul.60591,1.35000002
vbl_ssh_allreg_jul.60592,1.37
vbl_ssh_allreg_jul.60593,1.38
vbl_ssh_allreg_jul.60594,1.38999999
vbl_ssh_allreg_jul.60595,1.39999998
vbl_ssh_allreg_jul.60596,1.41999996
vbl_ssh_allreg_jul.37,1.83000004
vbl_ssh_allreg_jul.60597,1.42999995
vbl_ssh_allreg_jul.60598,1.45000005
vbl_ssh_allreg_jul.60599,1.46000004
vbl_ssh_allreg_jul.60600,1.47000003
vbl_ssh_allreg_jul.60601,1.48000002
vbl_ssh_allreg_jul.60602,1.48000002
vbl_ssh_allreg_jul.60603,1.49000001
vbl_ssh_allreg_jul.60604,1.49000001
vbl_ssh_allreg_jul.60605,1.49000001
vbl_ssh_allreg_jul.60606,1.50999999
vbl_ssh_allreg_jul.60607,1.51999998
vbl_ssh_allreg_jul.60608,1.53999996
vbl_ssh_allreg_jul.60609,1.54999995
vbl_ssh_allreg_jul.60610,1.55999994
vbl_ssh_allreg_jul.60611,1.57000005
vbl_ssh_allreg_jul.60612,1.57000005
vbl_ssh_allreg_jul.60613,1.58000004
vbl_ssh_allreg_jul.60614,1.58000004
vbl_ssh_allreg_jul.60615,1.59000003
vbl_ssh_allreg_jul.60616,1.59000003
vbl_ssh_allreg_jul.60617,1.60000002
vbl_ssh_allreg_jul.60618,1.60000002
vbl_ssh_allreg_jul.60619,1.60000002
vbl_ssh_allreg_jul.60620,1.61000001
vbl_ssh_allreg_jul.60621,1.61000001
vbl_ssh_allreg_jul.60622,1.61000001
vbl_ssh_allreg_jul.60623,1.62
vbl_ssh_allreg_jul.60624,1.62
vbl_ssh_allreg_jul.60625,1.62
vbl_ssh_allreg_jul.60626,1.63
vbl_ssh_allreg_jul.60627,0.28
vbl_ssh_allreg_jul.60628,0.25999999
vbl_ssh_allreg_jul.60629,0.63999999
vbl_ssh_allreg_jul.60630,0.79000002
vbl_ssh_allreg_jul.60631,0.85000002
vbl_ssh_allreg_jul.60633,0.97000003
vbl_ssh_allreg_jul.60634,1.00999999
vbl_ssh_allreg_jul.60635,1.08000004
vbl_ssh_allreg_jul.60636,1.12
vbl_ssh_allreg_jul.60637,1.14999998
vbl_ssh_allreg_jul.60638,1.17999995
vbl_ssh_allreg_jul.60639,1.22000003
vbl_ssh_allreg_jul.60640,1.25
vbl_ssh_allreg_jul.60641,1.27999997
vbl_ssh_allreg_jul.60642,1.30999994
vbl_ssh_allreg_jul.60643,1.33000004
vbl_ssh_allreg_jul.60644,1.34000003
vbl_ssh_allreg_jul.60645,1.36000001
vbl_ssh_allreg_jul.60646,1.37
vbl_ssh_allreg_jul.60647,1.38999999
vbl_ssh_allreg_jul.60648,1.39999998
vbl_ssh_allreg_jul.60649,1.40999997
vbl_ssh_allreg_jul.60650,1.41999996
vbl_ssh_allreg_jul.60651,1.42999995
vbl_ssh_allreg_jul.60652,1.44000006
vbl_ssh_allreg_jul.60653,1.45000005
vbl_ssh_allreg_jul.60654,1.46000004
vbl_ssh_allreg_jul.60655,1.46000004
vbl_ssh_allreg_jul.60656,1.45000005
vbl_ssh_allreg_jul.60657,1.41999996
vbl_ssh_allreg_jul.60658,1.47000003
vbl_ssh_allreg_jul.60659,1.47000003
vbl_ssh_allreg_jul.60660,1.50999999
vbl_ssh_allreg_jul.60661,1.52999997
vbl_ssh_allreg_jul.60662,1.53999996
vbl_ssh_allreg_jul.60663,1.54999995
vbl_ssh_allreg_jul.60664,1.55999994
vbl_ssh_allreg_jul.60665,1.57000005
vbl_ssh_allreg_jul.60666,1.57000005
vbl_ssh_allreg_jul.38,1.83000004
vbl_ssh_allreg_jul.60667,1.58000004
vbl_ssh_allreg_jul.60668,1.58000004
vbl_ssh_allreg_jul.60669,1.59000003
vbl_ssh_allreg_jul.60670,1.59000003
vbl_ssh_allreg_jul.60671,1.59000003
vbl_ssh_allreg_jul.60672,1.60000002
vbl_ssh_allreg_jul.60673,1.60000002
vbl_ssh_allreg_jul.60674,1.60000002
vbl_ssh_allreg_jul.60675,1.61000001
vbl_ssh_allreg_jul.60676,1.61000001
vbl_ssh_allreg_jul.60677,1.62
vbl_ssh_allreg_jul.60678,1.62
vbl_ssh_allreg_jul.60679,1.62
vbl_ssh_allreg_jul.60680,1.62
vbl_ssh_allreg_jul.60681,0.22
vbl_ssh_allreg_jul.60682,0.47999999
vbl_ssh_allreg_jul.60683,0.73000002
vbl_ssh_allreg_jul.60684,0.75999999
vbl_ssh_allreg_jul.60685,0.77999997
vbl_ssh_allreg_jul.60686,0.98000002
vbl_ssh_allreg_jul.60687,1.03999996
vbl_ssh_allreg_jul.60688,1.09000003
vbl_ssh_allreg_jul.60689,1.13
vbl_ssh_allreg_jul.60690,1.15999997
vbl_ssh_allreg_jul.60691,1.19000006
vbl_ssh_allreg_jul.60692,1.22000003
vbl_ssh_allreg_jul.60693,1.25
vbl_ssh_allreg_jul.60694,1.27999997
vbl_ssh_allreg_jul.60695,1.29999995
vbl_ssh_allreg_jul.60696,1.30999994
vbl_ssh_allreg_jul.60697,1.34000003
vbl_ssh_allreg_jul.60698,1.36000001
vbl_ssh_allreg_jul.60699,1.37
vbl_ssh_allreg_jul.60700,1.38
vbl_ssh_allreg_jul.60701,1.38999999
vbl_ssh_allreg_jul.60703,1.40999997
vbl_ssh_allreg_jul.60704,1.41999996
vbl_ssh_allreg_jul.60705,1.41999996
vbl_ssh_allreg_jul.60706,1.40999997
vbl_ssh_allreg_jul.60707,1.38
vbl_ssh_allreg_jul.60708,1.28999996
vbl_ssh_allreg_jul.60709,1.17999995
vbl_ssh_allreg_jul.60710,1.35000002
vbl_ssh_allreg_jul.60711,1.44000006
vbl_ssh_allreg_jul.60712,1.49000001
vbl_ssh_allreg_jul.60713,1.51999998
vbl_ssh_allreg_jul.60714,1.52999997
vbl_ssh_allreg_jul.60715,1.53999996
vbl_ssh_allreg_jul.60716,1.54999995
vbl_ssh_allreg_jul.60717,1.55999994
vbl_ssh_allreg_jul.60718,1.55999994
vbl_ssh_allreg_jul.60719,1.57000005
vbl_ssh_allreg_jul.60720,1.58000004
vbl_ssh_allreg_jul.60721,1.58000004
vbl_ssh_allreg_jul.60722,1.58000004
vbl_ssh_allreg_jul.60723,1.59000003
vbl_ssh_allreg_jul.60724,1.59000003
vbl_ssh_allreg_jul.60725,1.60000002
vbl_ssh_allreg_jul.60726,1.60000002
vbl_ssh_allreg_jul.60727,1.60000002
vbl_ssh_allreg_jul.60728,1.61000001
vbl_ssh_allreg_jul.60729,1.61000001
vbl_ssh_allreg_jul.60730,1.61000001
vbl_ssh_allreg_jul.60731,1.62
vbl_ssh_allreg_jul.60732,1.62
vbl_ssh_allreg_jul.60733,0.14
vbl_ssh_allreg_jul.60734,0.50999999
vbl_ssh_allreg_jul.60735,0.58999997
vbl_ssh_allreg_jul.60736,0.5
vbl_ssh_allreg_jul.39,1.83000004
vbl_ssh_allreg_jul.60737,0.81
vbl_ssh_allreg_jul.60738,0.97000003
vbl_ssh_allreg_jul.60739,1.05999994
vbl_ssh_allreg_jul.60740,1.10000002
vbl_ssh_allreg_jul.60741,1.13999999
vbl_ssh_allreg_jul.60742,1.15999997
vbl_ssh_allreg_jul.60743,1.19000006
vbl_ssh_allreg_jul.60744,1.22000003
vbl_ssh_allreg_jul.60745,1.24000001
vbl_ssh_allreg_jul.60746,1.26999998
vbl_ssh_allreg_jul.60747,1.27999997
vbl_ssh_allreg_jul.60748,1.30999994
vbl_ssh_allreg_jul.60749,1.33000004
vbl_ssh_allreg_jul.60750,1.34000003
vbl_ssh_allreg_jul.60751,1.36000001
vbl_ssh_allreg_jul.60752,1.37
vbl_ssh_allreg_jul.60753,1.38
vbl_ssh_allreg_jul.60754,1.38999999
vbl_ssh_allreg_jul.60755,1.38999999
vbl_ssh_allreg_jul.60756,1.38999999
vbl_ssh_allreg_jul.60757,1.37
vbl_ssh_allreg_jul.60758,1.32000005
vbl_ssh_allreg_jul.60759,1.19000006
vbl_ssh_allreg_jul.60760,0.95999998
vbl_ssh_allreg_jul.60761,1.21000004
vbl_ssh_allreg_jul.60762,1.36000001
vbl_ssh_allreg_jul.60763,1.42999995
vbl_ssh_allreg_jul.60764,1.48000002
vbl_ssh_allreg_jul.60765,1.5
vbl_ssh_allreg_jul.60766,1.51999998
vbl_ssh_allreg_jul.60767,1.52999997
vbl_ssh_allreg_jul.60768,1.53999996
vbl_ssh_allreg_jul.60769,1.54999995
vbl_ssh_allreg_jul.60770,1.55999994
vbl_ssh_allreg_jul.60771,1.55999994
vbl_ssh_allreg_jul.60772,1.57000005
vbl_ssh_allreg_jul.60773,1.57000005
vbl_ssh_allreg_jul.60774,1.58000004
vbl_ssh_allreg_jul.60775,1.58000004
vbl_ssh_allreg_jul.60776,1.59000003
vbl_ssh_allreg_jul.60777,1.59000003
vbl_ssh_allreg_jul.60778,1.59000003
vbl_ssh_allreg_jul.60779,1.60000002
vbl_ssh_allreg_jul.60780,1.60000002
vbl_ssh_allreg_jul.60781,1.61000001
vbl_ssh_allreg_jul.60782,1.61000001
vbl_ssh_allreg_jul.60783,1.61000001
vbl_ssh_allreg_jul.60784,1.61000001
vbl_ssh_allreg_jul.60785,0.31999999
vbl_ssh_allreg_jul.60786,0.5
vbl_ssh_allreg_jul.60787,0.92000002
vbl_ssh_allreg_jul.60788,1.02999997
vbl_ssh_allreg_jul.60789,1.05999994
vbl_ssh_allreg_jul.60790,1.11000001
vbl_ssh_allreg_jul.60791,1.13999999
vbl_ssh_allreg_jul.60792,1.15999997
vbl_ssh_allreg_jul.60793,1.19000006
vbl_ssh_allreg_jul.60794,1.21000004
vbl_ssh_allreg_jul.60795,1.24000001
vbl_ssh_allreg_jul.60796,1.25999999
vbl_ssh_allreg_jul.60797,1.27999997
vbl_ssh_allreg_jul.60798,1.29999995
vbl_ssh_allreg_jul.60799,1.30999994
vbl_ssh_allreg_jul.60800,1.32000005
vbl_ssh_allreg_jul.60801,1.32000005
vbl_ssh_allreg_jul.60802,1.35000002
vbl_ssh_allreg_jul.60803,1.36000001
vbl_ssh_allreg_jul.60804,1.37
vbl_ssh_allreg_jul.60805,1.36000001
vbl_ssh_allreg_jul.40,1.83000004
vbl_ssh_allreg_jul.60806,1.34000003
vbl_ssh_allreg_jul.60807,1.28999996
vbl_ssh_allreg_jul.60808,1.24000001
vbl_ssh_allreg_jul.60809,0.89999998
vbl_ssh_allreg_jul.60810,0.98000002
vbl_ssh_allreg_jul.60811,1.13999999
vbl_ssh_allreg_jul.60812,1.28999996
vbl_ssh_allreg_jul.60813,1.37
vbl_ssh_allreg_jul.60814,1.42999995
vbl_ssh_allreg_jul.60815,1.46000004
vbl_ssh_allreg_jul.60816,1.49000001
vbl_ssh_allreg_jul.60817,1.50999999
vbl_ssh_allreg_jul.60818,1.51999998
vbl_ssh_allreg_jul.60819,1.52999997
vbl_ssh_allreg_jul.60820,1.53999996
vbl_ssh_allreg_jul.60821,1.54999995
vbl_ssh_allreg_jul.60822,1.55999994
vbl_ssh_allreg_jul.60823,1.55999994
vbl_ssh_allreg_jul.60824,1.57000005
vbl_ssh_allreg_jul.60825,1.57000005
vbl_ssh_allreg_jul.60826,1.58000004
vbl_ssh_allreg_jul.60827,1.58000004
vbl_ssh_allreg_jul.60828,1.59000003
vbl_ssh_allreg_jul.60829,1.59000003
vbl_ssh_allreg_jul.60830,1.59000003
vbl_ssh_allreg_jul.60831,1.60000002
vbl_ssh_allreg_jul.60832,1.60000002
vbl_ssh_allreg_jul.60833,1.61000001
vbl_ssh_allreg_jul.60834,1.61000001
vbl_ssh_allreg_jul.60835,1.61000001
vbl_ssh_allreg_jul.60836,0.81
vbl_ssh_allreg_jul.60837,0.94
vbl_ssh_allreg_jul.60838,1.00999999
vbl_ssh_allreg_jul.60839,1.07000005
vbl_ssh_allreg_jul.60840,1.11000001
vbl_ssh_allreg_jul.60841,1.13999999
vbl_ssh_allreg_jul.60842,1.17999995
vbl_ssh_allreg_jul.60843,1.20000005
vbl_ssh_allreg_jul.60844,1.22000003
vbl_ssh_allreg_jul.60845,1.24000001
vbl_ssh_allreg_jul.60846,1.25
vbl_ssh_allreg_jul.60847,1.25999999
vbl_ssh_allreg_jul.60848,1.24000001
vbl_ssh_allreg_jul.60849,1.22000003
vbl_ssh_allreg_jul.60850,1.17999995
vbl_ssh_allreg_jul.60851,1.25999999
vbl_ssh_allreg_jul.60852,1.29999995
vbl_ssh_allreg_jul.60853,1.33000004
vbl_ssh_allreg_jul.60854,1.34000003
vbl_ssh_allreg_jul.60855,1.32000005
vbl_ssh_allreg_jul.60856,1.26999998
vbl_ssh_allreg_jul.60857,1.25
vbl_ssh_allreg_jul.60858,1.11000001
vbl_ssh_allreg_jul.60859,1.07000005
vbl_ssh_allreg_jul.60860,1.13999999
vbl_ssh_allreg_jul.60861,1.24000001
vbl_ssh_allreg_jul.60862,1.30999994
vbl_ssh_allreg_jul.60863,1.37
vbl_ssh_allreg_jul.60864,1.41999996
vbl_ssh_allreg_jul.60865,1.45000005
vbl_ssh_allreg_jul.60866,1.48000002
vbl_ssh_allreg_jul.60867,1.5
vbl_ssh_allreg_jul.60868,1.50999999
vbl_ssh_allreg_jul.60869,1.51999998
vbl_ssh_allreg_jul.60870,1.52999997
vbl_ssh_allreg_jul.60871,1.53999996
vbl_ssh_allreg_jul.60872,1.53999996
vbl_ssh_allreg_jul.60873,1.54999995
vbl_ssh_allreg_jul.60874,1.55999994
vbl_ssh_allreg_jul.60875,1.57000005
vbl_ssh_allreg_jul.60876,1.57000005
vbl_ssh_allreg_jul.60877,1.58000004
vbl_ssh_allreg_jul.60878,1.58000004
vbl_ssh_allreg_jul.60879,1.59000003
vbl_ssh_allreg_jul.60880,1.59000003
vbl_ssh_allreg_jul.60881,1.59000003
vbl_ssh_allreg_jul.60882,1.60000002
vbl_ssh_allreg_jul.60883,1.60000002
vbl_ssh_allreg_jul.60884,1.60000002
vbl_ssh_allreg_jul.60885,1.60000002
vbl_ssh_allreg_jul.60886,0.93000001
vbl_ssh_allreg_jul.60887,1.00999999
vbl_ssh_allreg_jul.60888,1.09000003
vbl_ssh_allreg_jul.60889,1.11000001
vbl_ssh_allreg_jul.60890,1.14999998
vbl_ssh_allreg_jul.60891,1.17999995
vbl_ssh_allreg_jul.60892,1.20000005
vbl_ssh_allreg_jul.60893,1.21000004
vbl_ssh_allreg_jul.60894,1.22000003
vbl_ssh_allreg_jul.60895,1.21000004
vbl_ssh_allreg_jul.60896,1.14999998
vbl_ssh_allreg_jul.60897,1.13
vbl_ssh_allreg_jul.60898,1.05999994
vbl_ssh_allreg_jul.60899,1.17999995
vbl_ssh_allreg_jul.60900,1.25999999
vbl_ssh_allreg_jul.60901,1.29999995
vbl_ssh_allreg_jul.60902,1.29999995
vbl_ssh_allreg_jul.60903,1.26999998
vbl_ssh_allreg_jul.60904,1.25999999
vbl_ssh_allreg_jul.60905,1.17999995
vbl_ssh_allreg_jul.60906,1.13999999
vbl_ssh_allreg_jul.60907,1.15999997
vbl_ssh_allreg_jul.60908,1.22000003
vbl_ssh_allreg_jul.60909,1.26999998
vbl_ssh_allreg_jul.60910,1.32000005
vbl_ssh_allreg_jul.60911,1.37
vbl_ssh_allreg_jul.60912,1.40999997
vbl_ssh_allreg_jul.60913,1.44000006
vbl_ssh_allreg_jul.60914,1.46000004
vbl_ssh_allreg_jul.60915,1.48000002
vbl_ssh_allreg_jul.60916,1.49000001
vbl_ssh_allreg_jul.60917,1.5
vbl_ssh_allreg_jul.60918,1.50999999
vbl_ssh_allreg_jul.60919,1.52999997
vbl_ssh_allreg_jul.60920,1.53999996
vbl_ssh_allreg_jul.60921,1.53999996
vbl_ssh_allreg_jul.60922,1.54999995
vbl_ssh_allreg_jul.60923,1.55999994
vbl_ssh_allreg_jul.60924,1.55999994
vbl_ssh_allreg_jul.60925,1.57000005
vbl_ssh_allreg_jul.60926,1.57000005
vbl_ssh_allreg_jul.60927,1.58000004
vbl_ssh_allreg_jul.60928,1.58000004
vbl_ssh_allreg_jul.60929,1.59000003
vbl_ssh_allreg_jul.60930,1.59000003
vbl_ssh_allreg_jul.60931,1.59000003
vbl_ssh_allreg_jul.60932,1.60000002
vbl_ssh_allreg_jul.60933,1.60000002
vbl_ssh_allreg_jul.60934,0.75
vbl_ssh_allreg_jul.60935,0.91000003
vbl_ssh_allreg_jul.60936,0.99000001
vbl_ssh_allreg_jul.60937,1.08000004
vbl_ssh_allreg_jul.60938,1.10000002
vbl_ssh_allreg_jul.60939,1.14999998
vbl_ssh_allreg_jul.60940,1.17999995
vbl_ssh_allreg_jul.60941,1.17999995
vbl_ssh_allreg_jul.60942,1.17999995
vbl_ssh_allreg_jul.60943,1.16999996
vbl_ssh_allreg_jul.60944,1.11000001
vbl_ssh_allreg_jul.41,1.83000004
vbl_ssh_allreg_jul.60945,1.13
vbl_ssh_allreg_jul.60946,0.79000002
vbl_ssh_allreg_jul.60947,1.01999998
vbl_ssh_allreg_jul.60948,1.11000001
vbl_ssh_allreg_jul.60949,1.19000006
vbl_ssh_allreg_jul.60950,1.25
vbl_ssh_allreg_jul.60951,1.26999998
vbl_ssh_allreg_jul.60952,1.26999998
vbl_ssh_allreg_jul.60953,1.25999999
vbl_ssh_allreg_jul.60954,1.22000003
vbl_ssh_allreg_jul.60955,1.19000006
vbl_ssh_allreg_jul.60956,1.19000006
vbl_ssh_allreg_jul.60957,1.22000003
vbl_ssh_allreg_jul.60958,1.25
vbl_ssh_allreg_jul.60959,1.27999997
vbl_ssh_allreg_jul.60960,1.32000005
vbl_ssh_allreg_jul.60961,1.36000001
vbl_ssh_allreg_jul.60962,1.38999999
vbl_ssh_allreg_jul.60963,1.41999996
vbl_ssh_allreg_jul.60964,1.44000006
vbl_ssh_allreg_jul.60965,1.46000004
vbl_ssh_allreg_jul.60966,1.48000002
vbl_ssh_allreg_jul.60967,1.49000001
vbl_ssh_allreg_jul.60968,1.50999999
vbl_ssh_allreg_jul.60969,1.51999998
vbl_ssh_allreg_jul.60970,1.51999998
vbl_ssh_allreg_jul.60971,1.52999997
vbl_ssh_allreg_jul.60972,1.53999996
vbl_ssh_allreg_jul.60973,1.54999995
vbl_ssh_allreg_jul.60974,1.54999995
vbl_ssh_allreg_jul.60975,1.55999994
vbl_ssh_allreg_jul.60976,1.55999994
vbl_ssh_allreg_jul.60977,1.57000005
vbl_ssh_allreg_jul.60978,1.58000004
vbl_ssh_allreg_jul.42,1.83000004
vbl_ssh_allreg_jul.60979,1.58000004
vbl_ssh_allreg_jul.60980,1.58000004
vbl_ssh_allreg_jul.60981,1.58000004
vbl_ssh_allreg_jul.60982,1.59000003
vbl_ssh_allreg_jul.60983,1.59000003
vbl_ssh_allreg_jul.60984,0.88999999
vbl_ssh_allreg_jul.60985,1.00999999
vbl_ssh_allreg_jul.60986,1.07000005
vbl_ssh_allreg_jul.60987,1.09000003
vbl_ssh_allreg_jul.60988,1.13999999
vbl_ssh_allreg_jul.60989,1.14999998
vbl_ssh_allreg_jul.60990,1.13999999
vbl_ssh_allreg_jul.60991,1.12
vbl_ssh_allreg_jul.60992,1.03999996
vbl_ssh_allreg_jul.60993,1.02999997
vbl_ssh_allreg_jul.60994,0.82999998
vbl_ssh_allreg_jul.60995,0.99000001
vbl_ssh_allreg_jul.60996,1.03999996
vbl_ssh_allreg_jul.60997,1.13
vbl_ssh_allreg_jul.60998,1.20000005
vbl_ssh_allreg_jul.60999,1.24000001
vbl_ssh_allreg_jul.61000,1.25
vbl_ssh_allreg_jul.61001,1.25
vbl_ssh_allreg_jul.61002,1.23000002
vbl_ssh_allreg_jul.61003,1.22000003
vbl_ssh_allreg_jul.61004,1.21000004
vbl_ssh_allreg_jul.61005,1.21000004
vbl_ssh_allreg_jul.61006,1.23000002
vbl_ssh_allreg_jul.61007,1.25
